lan,year,foradl_bio
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,33479.328
stockholms_lan,2009,36654.065
stockholms_lan,2010,37162.252
stockholms_lan,2011,38460.351
stockholms_lan,2012,39594.16
stockholms_lan,2013,38031.115
stockholms_lan,2014,37320.558
stockholms_lan,2015,40496.657
stockholms_lan,2016,42932.63
stockholms_lan,2017,43816.949
stockholms_lan,2018,45671.742
stockholms_lan,2019,48688.267
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,7595.582
uppsala_lan,2009,7566.904
uppsala_lan,2010,8989.442
uppsala_lan,2011,8975.415
uppsala_lan,2012,8457.921
uppsala_lan,2013,8380.257
uppsala_lan,2014,8569.246
uppsala_lan,2015,8787.461
uppsala_lan,2016,8887.442
uppsala_lan,2017,9915.34
uppsala_lan,2018,9859.452
uppsala_lan,2019,10951.213
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,5529.87
sodermansland_lan,2009,4969.55
sodermansland_lan,2010,5993.779
sodermansland_lan,2011,5881.608
sodermansland_lan,2012,6070.807
sodermansland_lan,2013,5321.956
sodermansland_lan,2014,5248.06
sodermansland_lan,2015,5741.973
sodermansland_lan,2016,5710.861
sodermansland_lan,2017,6026.741
sodermansland_lan,2018,6411.984
sodermansland_lan,2019,6635.015
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,9714.705
ostergotlands_lan,2009,10303.941
ostergotlands_lan,2010,10916.975
ostergotlands_lan,2011,11421.22
ostergotlands_lan,2012,11308.073
ostergotlands_lan,2013,10597.847
ostergotlands_lan,2014,11423.869
ostergotlands_lan,2015,12045.591
ostergotlands_lan,2016,12197.606
ostergotlands_lan,2017,13087.465
ostergotlands_lan,2018,13811.924
ostergotlands_lan,2019,14162.418
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,11517.624
jonkopings_lan,2009,9881.644
jonkopings_lan,2010,10551.841
jonkopings_lan,2011,11375.427
jonkopings_lan,2012,10932.789
jonkopings_lan,2013,10797.795
jonkopings_lan,2014,12151.895
jonkopings_lan,2015,13736.035
jonkopings_lan,2016,14286.136
jonkopings_lan,2017,15171.584
jonkopings_lan,2018,15084.147
jonkopings_lan,2019,14348.315
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,6014.32
kronobergs_lan,2009,5741.035
kronobergs_lan,2010,6750.98
kronobergs_lan,2011,6832.916
kronobergs_lan,2012,5946.031
kronobergs_lan,2013,5660.813
kronobergs_lan,2014,6012.639
kronobergs_lan,2015,6615.751
kronobergs_lan,2016,6582.189
kronobergs_lan,2017,7023.786
kronobergs_lan,2018,7428.151
kronobergs_lan,2019,7425.229
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,9429.444
kalmar_lan,2009,8276.59
kalmar_lan,2010,10320.952
kalmar_lan,2011,9675.255
kalmar_lan,2012,9047.497
kalmar_lan,2013,9754.225
kalmar_lan,2014,10781.923
kalmar_lan,2015,11398.35
kalmar_lan,2016,11154.098
kalmar_lan,2017,11903.516
kalmar_lan,2018,12666.17
kalmar_lan,2019,12113.853
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,1582.892
gotlands_lan,2009,1394.211
gotlands_lan,2010,1619.073
gotlands_lan,2011,1844.248
gotlands_lan,2012,1719.958
gotlands_lan,2013,1610.4
gotlands_lan,2014,1689.263
gotlands_lan,2015,1924.5
gotlands_lan,2016,1820.067
gotlands_lan,2017,1889.545
gotlands_lan,2018,2044.856
gotlands_lan,2019,2235.921
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,4759.839
blekinge_lan,2009,4662.63
blekinge_lan,2010,5535.942
blekinge_lan,2011,5292.935
blekinge_lan,2012,4420.161
blekinge_lan,2013,4509.64
blekinge_lan,2014,4719.575
blekinge_lan,2015,5233.28
blekinge_lan,2016,4951.928
blekinge_lan,2017,5272.844
blekinge_lan,2018,6488.279
blekinge_lan,2019,6117.28
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
