lan,year,forv_bio_tja
skane_lan,2009,1290.341
skane_lan,2010,1389.789
skane_lan,2011,1430.305
skane_lan,2012,1488.267
skane_lan,2013,1497.453
skane_lan,2014,1514.618
skane_lan,2015,1582.905
skane_lan,2016,1624.093
skane_lan,2017,1650.734
skane_lan,2018,1673.097
skane_lan,2019,1791.13
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,256.361
hallands_lan,2009,248.916
hallands_lan,2010,275.228
hallands_lan,2011,294.646
hallands_lan,2012,304.036
hallands_lan,2013,311.669
hallands_lan,2014,322.037
hallands_lan,2015,326.199
hallands_lan,2016,331.565
hallands_lan,2017,353.853
hallands_lan,2018,353.738
hallands_lan,2019,376.452
hallands_lan,2020,
hallands_lan,2021,
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,1835.025
v_gotaland_lan,2009,1735.792
v_gotaland_lan,2010,1900.432
v_gotaland_lan,2011,1995.643
v_gotaland_lan,2012,2099.296
v_gotaland_lan,2013,2111.995
v_gotaland_lan,2014,2131.862
v_gotaland_lan,2015,2263.775
v_gotaland_lan,2016,2327.442
v_gotaland_lan,2017,2410.528
v_gotaland_lan,2018,2453.012
v_gotaland_lan,2019,2533.326
v_gotaland_lan,2020,
v_gotaland_lan,2021,
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,260.306
varmlands_lan,2009,249.37
varmlands_lan,2010,266.705
varmlands_lan,2011,277.373
varmlands_lan,2012,286.25
varmlands_lan,2013,286.571
varmlands_lan,2014,287.019
varmlands_lan,2015,301.662
varmlands_lan,2016,304.238
varmlands_lan,2017,308.659
varmlands_lan,2018,313.628
varmlands_lan,2019,312.347
varmlands_lan,2020,
varmlands_lan,2021,
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,323.751
orebro_lan,2009,297.144
orebro_lan,2010,331.622
orebro_lan,2011,339.283
orebro_lan,2012,341.107
orebro_lan,2013,330.976
orebro_lan,2014,331.24
orebro_lan,2015,342.897
orebro_lan,2016,343.273
orebro_lan,2017,356.551
orebro_lan,2018,359.384
orebro_lan,2019,365.831
orebro_lan,2020,
orebro_lan,2021,
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,254.542
vastmanlands_lan,2009,239.195
vastmanlands_lan,2010,265.457
vastmanlands_lan,2011,274.211
vastmanlands_lan,2012,287.115
vastmanlands_lan,2013,299.738
vastmanlands_lan,2014,298.114
vastmanlands_lan,2015,308.024
vastmanlands_lan,2016,318.087
vastmanlands_lan,2017,344.855
vastmanlands_lan,2018,347.336
vastmanlands_lan,2019,357.363
vastmanlands_lan,2020,
vastmanlands_lan,2021,
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,286.514
dalarna_lan,2009,290.006
dalarna_lan,2010,304.503
dalarna_lan,2011,311.287
dalarna_lan,2012,324.367
dalarna_lan,2013,328.016
dalarna_lan,2014,334.54
dalarna_lan,2015,338.245
dalarna_lan,2016,350.318
dalarna_lan,2017,346.578
dalarna_lan,2018,348.257
dalarna_lan,2019,341.539
dalarna_lan,2020,
dalarna_lan,2021,
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,306.552
gavleborg_lan,2009,280.748
gavleborg_lan,2010,290.394
gavleborg_lan,2011,289.503
gavleborg_lan,2012,311.584
gavleborg_lan,2013,317.264
gavleborg_lan,2014,318.541
gavleborg_lan,2015,309.514
gavleborg_lan,2016,313.524
gavleborg_lan,2017,313.854
gavleborg_lan,2018,316.283
gavleborg_lan,2019,333.612
gavleborg_lan,2020,
gavleborg_lan,2021,
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,246.082
vasternorrlands_lan,2009,239.564
vasternorrlands_lan,2010,242.308
vasternorrlands_lan,2011,239.015
vasternorrlands_lan,2012,248.535
vasternorrlands_lan,2013,256.629
vasternorrlands_lan,2014,263.655
vasternorrlands_lan,2015,266.191
vasternorrlands_lan,2016,271.66
vasternorrlands_lan,2017,270.16
vasternorrlands_lan,2018,270.274
vasternorrlands_lan,2019,279.936
vasternorrlands_lan,2020,
vasternorrlands_lan,2021,
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,196.027
jamtlands_lan,2009,185.765
jamtlands_lan,2010,185.8
jamtlands_lan,2011,179.706
jamtlands_lan,2012,179.615
jamtlands_lan,2013,194.472
jamtlands_lan,2014,191.077
jamtlands_lan,2015,195.088
jamtlands_lan,2016,201.167
jamtlands_lan,2017,213.35
jamtlands_lan,2018,218.491
jamtlands_lan,2019,210.903
jamtlands_lan,2020,
jamtlands_lan,2021,
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,252.323
vasterbottens_lan,2009,237.998
vasterbottens_lan,2010,257.066
vasterbottens_lan,2011,258.532
vasterbottens_lan,2012,278.392
vasterbottens_lan,2013,287.885
vasterbottens_lan,2014,282.557
vasterbottens_lan,2015,285.591
vasterbottens_lan,2016,294.753
vasterbottens_lan,2017,292.315
vasterbottens_lan,2018,294.687
vasterbottens_lan,2019,309.524
vasterbottens_lan,2020,
vasterbottens_lan,2021,
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,295.873
norrbottens_lan,2009,280.897
norrbottens_lan,2010,290.423
norrbottens_lan,2011,303.554
norrbottens_lan,2012,317.086
norrbottens_lan,2013,314.957
norrbottens_lan,2014,322.785
norrbottens_lan,2015,329.171
norrbottens_lan,2016,332.04
norrbottens_lan,2017,330.476
norrbottens_lan,2018,327.735
norrbottens_lan,2019,330.992
norrbottens_lan,2020,
norrbottens_lan,2021,
norrbottens_lan,2022,
norrbottens_lan,2023,
riket,2003,
riket,2004,
riket,2005,
riket,2006,
riket,2007,
riket,2008,11079.862
riket,2009,10748.423
riket,2010,11532.083
riket,2011,11981.079
riket,2012,12491.037
riket,2013,12741.669
riket,2014,12918.964
riket,2015,13386.666
riket,2016,13775.156
riket,2017,14109.952
riket,2018,14218.276
riket,2019,14689.671
riket,2020,
riket,2021,
riket,2022,
riket,2023,
