lan,year,forv_kvn_ant
jamtlands_lan,2013,410
jamtlands_lan,2014,425
jamtlands_lan,2015,456
jamtlands_lan,2016,464
jamtlands_lan,2017,503
jamtlands_lan,2018,530
jamtlands_lan,2019,557
jamtlands_lan,2020,573
jamtlands_lan,2021,588
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,486
vasterbottens_lan,2004,540
vasterbottens_lan,2005,467
vasterbottens_lan,2006,528
vasterbottens_lan,2007,525
vasterbottens_lan,2008,556
vasterbottens_lan,2009,537
vasterbottens_lan,2010,576
vasterbottens_lan,2011,621
vasterbottens_lan,2012,693
vasterbottens_lan,2013,703
vasterbottens_lan,2014,735
vasterbottens_lan,2015,783
vasterbottens_lan,2016,793
vasterbottens_lan,2017,821
vasterbottens_lan,2018,862
vasterbottens_lan,2019,989
vasterbottens_lan,2020,1019
vasterbottens_lan,2021,1110
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,410
norrbottens_lan,2004,443
norrbottens_lan,2005,458
norrbottens_lan,2006,497
norrbottens_lan,2007,617
norrbottens_lan,2008,646
norrbottens_lan,2009,596
norrbottens_lan,2010,611
norrbottens_lan,2011,686
norrbottens_lan,2012,716
norrbottens_lan,2013,732
norrbottens_lan,2014,732
norrbottens_lan,2015,763
norrbottens_lan,2016,809
norrbottens_lan,2017,864
norrbottens_lan,2018,900
norrbottens_lan,2019,890
norrbottens_lan,2020,905
norrbottens_lan,2021,927
norrbottens_lan,2022,
norrbottens_lan,2023,
