lan,year,med_tilv_tra
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,7.4
hallands_lan,2009,7.6
hallands_lan,2010,7.9
hallands_lan,2011,7.8
hallands_lan,2012,8.3
hallands_lan,2013,8.5
hallands_lan,2014,8.5
hallands_lan,2015,8.3
hallands_lan,2016,8.2
hallands_lan,2017,7.6
hallands_lan,2018,
hallands_lan,2019,
hallands_lan,2020,
hallands_lan,2021,
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,7
v_gotaland_lan,2009,7.2
v_gotaland_lan,2010,7.5
v_gotaland_lan,2011,7.8
v_gotaland_lan,2012,7.9
v_gotaland_lan,2013,7.8
v_gotaland_lan,2014,7.7
v_gotaland_lan,2015,7.4
v_gotaland_lan,2016,7.1
v_gotaland_lan,2017,6.8
v_gotaland_lan,2018,
v_gotaland_lan,2019,
v_gotaland_lan,2020,
v_gotaland_lan,2021,
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,6.8
varmlands_lan,2009,6.8
varmlands_lan,2010,6.9
varmlands_lan,2011,7
varmlands_lan,2012,6.9
varmlands_lan,2013,6.8
varmlands_lan,2014,6.8
varmlands_lan,2015,6.5
varmlands_lan,2016,6.3
varmlands_lan,2017,6.2
varmlands_lan,2018,
varmlands_lan,2019,
varmlands_lan,2020,
varmlands_lan,2021,
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,6.9
orebro_lan,2009,6.8
orebro_lan,2010,6.8
orebro_lan,2011,7.1
orebro_lan,2012,7
orebro_lan,2013,6.8
orebro_lan,2014,6.7
orebro_lan,2015,6.7
orebro_lan,2016,6.4
orebro_lan,2017,6.5
orebro_lan,2018,
orebro_lan,2019,
orebro_lan,2020,
orebro_lan,2021,
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,6.1
vastmanlands_lan,2009,6.1
vastmanlands_lan,2010,6.2
vastmanlands_lan,2011,6.4
vastmanlands_lan,2012,6.6
vastmanlands_lan,2013,6.7
vastmanlands_lan,2014,6.5
vastmanlands_lan,2015,6.5
vastmanlands_lan,2016,6.2
