lan,year,fora_bio_mark
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,31947.13
stockholms_lan,2009,35138.19
stockholms_lan,2010,35527.07
stockholms_lan,2011,36673.27
stockholms_lan,2012,37754.22
stockholms_lan,2013,36082.84
stockholms_lan,2014,35257.8
stockholms_lan,2015,38290.68
stockholms_lan,2016,40550.11
stockholms_lan,2017,41361.48
stockholms_lan,2018,43094.33
stockholms_lan,2019,46029.1
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,7501.6
uppsala_lan,2009,7466.3
uppsala_lan,2010,8881.72
uppsala_lan,2011,8859.44
uppsala_lan,2012,8338.12
uppsala_lan,2013,8248.65
uppsala_lan,2014,8439.1
uppsala_lan,2015,8636.15
uppsala_lan,2016,8724.7
uppsala_lan,2017,9742.29
uppsala_lan,2018,9658.29
uppsala_lan,2019,10745.44
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,5468.33
sodermansland_lan,2009,4910.27
sodermansland_lan,2010,5917.22
sodermansland_lan,2011,5795.38
sodermansland_lan,2012,5981.04
sodermansland_lan,2013,5231.04
sodermansland_lan,2014,5155.41
sodermansland_lan,2015,5635.02
sodermansland_lan,2016,5601.76
sodermansland_lan,2017,5912.13
sodermansland_lan,2018,6291.56
sodermansland_lan,2019,6511.48
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,9551.7
ostergotlands_lan,2009,10143.01
ostergotlands_lan,2010,10740.41
ostergotlands_lan,2011,11235.49
ostergotlands_lan,2012,11114.15
ostergotlands_lan,2013,10401.41
ostergotlands_lan,2014,11223.76
ostergotlands_lan,2015,11818.61
ostergotlands_lan,2016,11946.6
ostergotlands_lan,2017,12816.09
ostergotlands_lan,2018,13536.28
ostergotlands_lan,2019,13879.93
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,11436.8
jonkopings_lan,2009,9805.19
jonkopings_lan,2010,10463.34
jonkopings_lan,2011,11273.81
jonkopings_lan,2012,10831.97
jonkopings_lan,2013,10689.58
jonkopings_lan,2014,12036.36
jonkopings_lan,2015,13606.97
jonkopings_lan,2016,14141.63
jonkopings_lan,2017,15012.06
jonkopings_lan,2018,14916.67
jonkopings_lan,2019,14177.25
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,5967.9
kronobergs_lan,2009,5701.48
kronobergs_lan,2010,6708.43
kronobergs_lan,2011,6784.26
kronobergs_lan,2012,5898.35
kronobergs_lan,2013,5608.28
kronobergs_lan,2014,5955.62
kronobergs_lan,2015,6550.49
kronobergs_lan,2016,6514.35
kronobergs_lan,2017,6953.58
kronobergs_lan,2018,7349.2
kronobergs_lan,2019,7344.13
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,9368.4
kalmar_lan,2009,8215.21
kalmar_lan,2010,10257.72
kalmar_lan,2011,9611.76
kalmar_lan,2012,8983.62
kalmar_lan,2013,9687.18
kalmar_lan,2014,10700.2
kalmar_lan,2015,11309.46
kalmar_lan,2016,11058.75
kalmar_lan,2017,11804.68
kalmar_lan,2018,12560.03
kalmar_lan,2019,12004.94
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,1556.64
gotlands_lan,2009,1366.69
gotlands_lan,2010,1587.44
gotlands_lan,2011,1809.51
gotlands_lan,2012,1684.72
gotlands_lan,2013,1574.92
gotlands_lan,2014,1653.3
gotlands_lan,2015,1887.66
gotlands_lan,2016,1781.48
gotlands_lan,2017,1849.11
gotlands_lan,2018,2005.67
gotlands_lan,2019,2193.85
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,4718.68
blekinge_lan,2009,4626.47
blekinge_lan,2010,5494.04
blekinge_lan,2011,5245.97
blekinge_lan,2012,4375.11
blekinge_lan,2013,4462.89
blekinge_lan,2014,4675.12
blekinge_lan,2015,5178.9
blekinge_lan,2016,4894.54
blekinge_lan,2017,5209.12
blekinge_lan,2018,6419.15
blekinge_lan,2019,6045.83
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
