lan,year,ant_ny_for
hallands_lan,2007,
hallands_lan,2008,
hallands_lan,2009,
hallands_lan,2010,
hallands_lan,2011,2250
hallands_lan,2012,2083
hallands_lan,2013,2076
hallands_lan,2014,2229
hallands_lan,2015,2142
hallands_lan,2016,2226
hallands_lan,2017,2190
hallands_lan,2018,1921
hallands_lan,2019,2099
hallands_lan,2020,2314
hallands_lan,2021,2497
hallands_lan,2022,2281
hallands_lan,2023,2076
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,
v_gotaland_lan,2009,
v_gotaland_lan,2010,
v_gotaland_lan,2011,11825
v_gotaland_lan,2012,10872
v_gotaland_lan,2013,11439
v_gotaland_lan,2014,11391
v_gotaland_lan,2015,11317
v_gotaland_lan,2016,11384
v_gotaland_lan,2017,11142
v_gotaland_lan,2018,10583
v_gotaland_lan,2019,11101
v_gotaland_lan,2020,12150
v_gotaland_lan,2021,13076
v_gotaland_lan,2022,12001
v_gotaland_lan,2023,11071
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,
varmlands_lan,2009,
varmlands_lan,2010,
varmlands_lan,2011,1566
varmlands_lan,2012,1495
varmlands_lan,2013,1423
varmlands_lan,2014,1498
varmlands_lan,2015,1449
varmlands_lan,2016,1481
varmlands_lan,2017,1422
varmlands_lan,2018,1409
varmlands_lan,2019,1347
varmlands_lan,2020,1575
varmlands_lan,2021,1642
varmlands_lan,2022,1503
varmlands_lan,2023,1396
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,
orebro_lan,2009,
orebro_lan,2010,
orebro_lan,2011,1645
orebro_lan,2012,1634
orebro_lan,2013,1577
orebro_lan,2014,1671
orebro_lan,2015,1682
orebro_lan,2016,1807
orebro_lan,2017,1767
orebro_lan,2018,1672
orebro_lan,2019,1631
orebro_lan,2020,1764
orebro_lan,2021,1858
orebro_lan,2022,1834
orebro_lan,2023,1593
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,
vastmanlands_lan,2009,
vastmanlands_lan,2010,
vastmanlands_lan,2011,1583
vastmanlands_lan,2012,1473
vastmanlands_lan,2013,1429
vastmanlands_lan,2014,1596
vastmanlands_lan,2015,1562
vastmanlands_lan,2016,1555
vastmanlands_lan,2017,1500
vastmanlands_lan,2018,1543
vastmanlands_lan,2019,1528
vastmanlands_lan,2020,1688
vastmanlands_lan,2021,1795
vastmanlands_lan,2022,1644
vastmanlands_lan,2023,1432
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,
dalarna_lan,2009,
dalarna_lan,2010,
dalarna_lan,2011,1706
dalarna_lan,2012,1685
dalarna_lan,2013,1437
dalarna_lan,2014,1580
dalarna_lan,2015,1573
dalarna_lan,2016,1603
dalarna_lan,2017,1598
dalarna_lan,2018,1491
dalarna_lan,2019,1497
dalarna_lan,2020,1742
dalarna_lan,2021,1746
dalarna_lan,2022,1685
dalarna_lan,2023,1610
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,
gavleborg_lan,2009,
gavleborg_lan,2010,
gavleborg_lan,2011,1583
gavleborg_lan,2012,1570
gavleborg_lan,2013,1540
gavleborg_lan,2014,1468
gavleborg_lan,2015,1495
gavleborg_lan,2016,1570
gavleborg_lan,2017,1470
gavleborg_lan,2018,1333
gavleborg_lan,2019,1345
gavleborg_lan,2020,1517
gavleborg_lan,2021,1656
gavleborg_lan,2022,1532
gavleborg_lan,2023,1388
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,
vasternorrlands_lan,2009,
vasternorrlands_lan,2010,
vasternorrlands_lan,2011,1394
vasternorrlands_lan,2012,1288
vasternorrlands_lan,2013,1337
vasternorrlands_lan,2014,1338
vasternorrlands_lan,2015,1373
vasternorrlands_lan,2016,1334
vasternorrlands_lan,2017,1272
vasternorrlands_lan,2018,1252
vasternorrlands_lan,2019,1248
vasternorrlands_lan,2020,1338
vasternorrlands_lan,2021,1508
vasternorrlands_lan,2022,1386
vasternorrlands_lan,2023,1224
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,
jamtlands_lan,2009,
jamtlands_lan,2010,
jamtlands_lan,2011,943
jamtlands_lan,2012,854
jamtlands_lan,2013,847
jamtlands_lan,2014,847
jamtlands_lan,2015,976
jamtlands_lan,2016,922
jamtlands_lan,2017,843
jamtlands_lan,2018,805
jamtlands_lan,2019,912
jamtlands_lan,2020,906
jamtlands_lan,2021,993
jamtlands_lan,2022,971
jamtlands_lan,2023,841
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,
vasterbottens_lan,2009,
vasterbottens_lan,2010,
vasterbottens_lan,2011,1547
vasterbottens_lan,2012,1481
vasterbottens_lan,2013,1455
vasterbottens_lan,2014,1437
vasterbottens_lan,2015,1461
vasterbottens_lan,2016,1545
vasterbottens_lan,2017,1493
vasterbottens_lan,2018,1303
vasterbottens_lan,2019,1411
vasterbottens_lan,2020,1461
vasterbottens_lan,2021,1586
vasterbottens_lan,2022,1528
vasterbottens_lan,2023,1318
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,
norrbottens_lan,2009,
norrbottens_lan,2010,
norrbottens_lan,2011,1440
norrbottens_lan,2012,1319
norrbottens_lan,2013,1249
norrbottens_lan,2014,1385
norrbottens_lan,2015,1298
norrbottens_lan,2016,1475
norrbottens_lan,2017,1489
norrbottens_lan,2018,1354
norrbottens_lan,2019,1332
norrbottens_lan,2020,1453
norrbottens_lan,2021,1493
norrbottens_lan,2022,1604
norrbottens_lan,2023,1353
