lan,year,ant_ny_for
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,
stockholms_lan,2009,
stockholms_lan,2010,
stockholms_lan,2011,23268
stockholms_lan,2012,21599
stockholms_lan,2013,21317
stockholms_lan,2014,22547
stockholms_lan,2015,22088
stockholms_lan,2016,23082
stockholms_lan,2017,21487
stockholms_lan,2018,21344
stockholms_lan,2019,20588
stockholms_lan,2020,22549
stockholms_lan,2021,23785
stockholms_lan,2022,22164
stockholms_lan,2023,19916
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,
uppsala_lan,2009,
uppsala_lan,2010,
uppsala_lan,2011,2661
uppsala_lan,2012,2516
uppsala_lan,2013,2534
uppsala_lan,2014,2589
uppsala_lan,2015,2542
uppsala_lan,2016,2623
uppsala_lan,2017,2473
uppsala_lan,2018,2332
uppsala_lan,2019,2285
uppsala_lan,2020,2663
uppsala_lan,2021,2742
uppsala_lan,2022,2618
uppsala_lan,2023,2408
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,
sodermansland_lan,2009,
sodermansland_lan,2010,
sodermansland_lan,2011,1667
sodermansland_lan,2012,1655
sodermansland_lan,2013,1650
sodermansland_lan,2014,1723
sodermansland_lan,2015,1714
sodermansland_lan,2016,1831
sodermansland_lan,2017,1646
sodermansland_lan,2018,1633
sodermansland_lan,2019,1527
sodermansland_lan,2020,1787
sodermansland_lan,2021,1913
sodermansland_lan,2022,1748
sodermansland_lan,2023,1585
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,
ostergotlands_lan,2009,
ostergotlands_lan,2010,
ostergotlands_lan,2011,2519
ostergotlands_lan,2012,2470
ostergotlands_lan,2013,2460
ostergotlands_lan,2014,2496
ostergotlands_lan,2015,2396
ostergotlands_lan,2016,2459
ostergotlands_lan,2017,2431
ostergotlands_lan,2018,2414
ostergotlands_lan,2019,2473
ostergotlands_lan,2020,2676
ostergotlands_lan,2021,2796
ostergotlands_lan,2022,2563
ostergotlands_lan,2023,2458
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,
jonkopings_lan,2009,
jonkopings_lan,2010,
jonkopings_lan,2011,1868
jonkopings_lan,2012,1771
jonkopings_lan,2013,1785
jonkopings_lan,2014,1854
jonkopings_lan,2015,1865
jonkopings_lan,2016,1914
jonkopings_lan,2017,1910
jonkopings_lan,2018,1808
jonkopings_lan,2019,1914
jonkopings_lan,2020,2223
jonkopings_lan,2021,2256
jonkopings_lan,2022,2011
jonkopings_lan,2023,1847
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,
kronobergs_lan,2009,
kronobergs_lan,2010,
kronobergs_lan,2011,1093
kronobergs_lan,2012,1079
kronobergs_lan,2013,1134
kronobergs_lan,2014,1126
kronobergs_lan,2015,1029
kronobergs_lan,2016,1086
kronobergs_lan,2017,1022
kronobergs_lan,2018,882
kronobergs_lan,2019,1013
kronobergs_lan,2020,1124
kronobergs_lan,2021,1252
kronobergs_lan,2022,1198
kronobergs_lan,2023,1127
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,
kalmar_lan,2009,
kalmar_lan,2010,
kalmar_lan,2011,1262
kalmar_lan,2012,1246
kalmar_lan,2013,1246
kalmar_lan,2014,1300
kalmar_lan,2015,1207
kalmar_lan,2016,1244
kalmar_lan,2017,1187
kalmar_lan,2018,1180
kalmar_lan,2019,1206
kalmar_lan,2020,1297
kalmar_lan,2021,1402
kalmar_lan,2022,1334
kalmar_lan,2023,1214
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,
gotlands_lan,2009,
gotlands_lan,2010,
gotlands_lan,2011,447
gotlands_lan,2012,427
gotlands_lan,2013,386
gotlands_lan,2014,411
gotlands_lan,2015,383
gotlands_lan,2016,382
gotlands_lan,2017,344
gotlands_lan,2018,327
gotlands_lan,2019,389
gotlands_lan,2020,397
gotlands_lan,2021,431
gotlands_lan,2022,373
gotlands_lan,2023,333
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,
blekinge_lan,2009,
blekinge_lan,2010,
blekinge_lan,2011,858
blekinge_lan,2012,816
blekinge_lan,2013,853
blekinge_lan,2014,824
blekinge_lan,2015,778
blekinge_lan,2016,741
blekinge_lan,2017,743
blekinge_lan,2018,733
blekinge_lan,2019,729
blekinge_lan,2020,795
blekinge_lan,2021,908
blekinge_lan,2022,835
blekinge_lan,2023,729
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,
skane_lan,2009,
skane_lan,2010,
skane_lan,2011,10317
skane_lan,2012,9639
skane_lan,2013,9826
skane_lan,2014,9834
skane_lan,2015,9621
skane_lan,2016,9420
skane_lan,2017,9289
skane_lan,2018,9249
skane_lan,2019,9174
skane_lan,2020,10126
skane_lan,2021,11224
skane_lan,2022,10230
skane_lan,2023,9186
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
