lan,year,ant_kon_ans
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,
hallands_lan,2009,367
hallands_lan,2010,590
hallands_lan,2011,491
hallands_lan,2012,481
hallands_lan,2013,444
hallands_lan,2014,298
hallands_lan,2015,419
hallands_lan,2016,608
hallands_lan,2017,433
hallands_lan,2018,613
hallands_lan,2019,417
hallands_lan,2020,531
hallands_lan,2021,430
hallands_lan,2022,335
hallands_lan,2023,358
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,
v_gotaland_lan,2009,4953
v_gotaland_lan,2010,3665
v_gotaland_lan,2011,7162
v_gotaland_lan,2012,3401
v_gotaland_lan,2013,4209
v_gotaland_lan,2014,2687
v_gotaland_lan,2015,2751
v_gotaland_lan,2016,2087
v_gotaland_lan,2017,2085
v_gotaland_lan,2018,2657
v_gotaland_lan,2019,2649
v_gotaland_lan,2020,4350
v_gotaland_lan,2021,1631
v_gotaland_lan,2022,2119
v_gotaland_lan,2023,2923
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,
varmlands_lan,2009,889
varmlands_lan,2010,725
varmlands_lan,2011,738
varmlands_lan,2012,414
varmlands_lan,2013,542
varmlands_lan,2014,694
varmlands_lan,2015,702
varmlands_lan,2016,642
varmlands_lan,2017,495
varmlands_lan,2018,601
varmlands_lan,2019,402
varmlands_lan,2020,441
varmlands_lan,2021,232
varmlands_lan,2022,244
varmlands_lan,2023,413
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,
orebro_lan,2009,424
orebro_lan,2010,536
orebro_lan,2011,574
orebro_lan,2012,771
orebro_lan,2013,552
orebro_lan,2014,675
orebro_lan,2015,504
orebro_lan,2016,335
orebro_lan,2017,764
orebro_lan,2018,406
orebro_lan,2019,553
orebro_lan,2020,537
orebro_lan,2021,178
orebro_lan,2022,694
orebro_lan,2023,427
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,
vastmanlands_lan,2009,416
vastmanlands_lan,2010,428
vastmanlands_lan,2011,455
vastmanlands_lan,2012,492
vastmanlands_lan,2013,927
vastmanlands_lan,2014,464
vastmanlands_lan,2015,346
vastmanlands_lan,2016,206
vastmanlands_lan,2017,879
vastmanlands_lan,2018,325
vastmanlands_lan,2019,524
vastmanlands_lan,2020,362
vastmanlands_lan,2021,155
vastmanlands_lan,2022,248
vastmanlands_lan,2023,527
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,
dalarna_lan,2009,693
dalarna_lan,2010,407
dalarna_lan,2011,538
dalarna_lan,2012,712
dalarna_lan,2013,619
dalarna_lan,2014,718
dalarna_lan,2015,364
dalarna_lan,2016,310
dalarna_lan,2017,449
dalarna_lan,2018,497
dalarna_lan,2019,562
dalarna_lan,2020,495
dalarna_lan,2021,261
dalarna_lan,2022,213
dalarna_lan,2023,383
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,
