lan,year,syss_lan
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,1045780
stockholms_lan,2009,1036396
stockholms_lan,2010,1070270
stockholms_lan,2011,1098729
stockholms_lan,2012,1127365
stockholms_lan,2013,1145107
stockholms_lan,2014,1163792
stockholms_lan,2015,1189458
stockholms_lan,2016,1218441
stockholms_lan,2017,1242669
stockholms_lan,2018,1259463
stockholms_lan,2019,1280124
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,133699
uppsala_lan,2009,131999
uppsala_lan,2010,136677
uppsala_lan,2011,140913
uppsala_lan,2012,144347
uppsala_lan,2013,146812
uppsala_lan,2014,148038
uppsala_lan,2015,151022
uppsala_lan,2016,155460
uppsala_lan,2017,158534
uppsala_lan,2018,160482
uppsala_lan,2019,166053
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,109311
sodermansland_lan,2009,104343
sodermansland_lan,2010,107092
sodermansland_lan,2011,110379
sodermansland_lan,2012,110697
sodermansland_lan,2013,112167
sodermansland_lan,2014,112107
sodermansland_lan,2015,112988
sodermansland_lan,2016,114679
sodermansland_lan,2017,116740
sodermansland_lan,2018,118206
sodermansland_lan,2019,120181
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,188407
ostergotlands_lan,2009,183582
ostergotlands_lan,2010,187636
ostergotlands_lan,2011,191645
ostergotlands_lan,2012,194155
ostergotlands_lan,2013,196808
ostergotlands_lan,2014,198318
ostergotlands_lan,2015,202138
ostergotlands_lan,2016,207364
ostergotlands_lan,2017,210586
ostergotlands_lan,2018,213744
ostergotlands_lan,2019,219108
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,166465
jonkopings_lan,2009,158009
jonkopings_lan,2010,162984
jonkopings_lan,2011,166582
jonkopings_lan,2012,166934
jonkopings_lan,2013,167441
jonkopings_lan,2014,168368
jonkopings_lan,2015,171083
jonkopings_lan,2016,175634
jonkopings_lan,2017,178916
jonkopings_lan,2018,180861
jonkopings_lan,2019,181765
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,91960
kronobergs_lan,2009,87781
kronobergs_lan,2010,89374
kronobergs_lan,2011,91520
kronobergs_lan,2012,92000
kronobergs_lan,2013,91626
kronobergs_lan,2014,92876
kronobergs_lan,2015,94352
kronobergs_lan,2016,96355
kronobergs_lan,2017,98400
kronobergs_lan,2018,99585
kronobergs_lan,2019,100369
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,104816
kalmar_lan,2009,101545
kalmar_lan,2010,103724
kalmar_lan,2011,105297
kalmar_lan,2012,105128
kalmar_lan,2013,105548
kalmar_lan,2014,105869
kalmar_lan,2015,106524
kalmar_lan,2016,108635
kalmar_lan,2017,109621
kalmar_lan,2018,110151
kalmar_lan,2019,110843
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,25150
gotlands_lan,2009,24869
gotlands_lan,2010,25205
gotlands_lan,2011,25877
gotlands_lan,2012,25891
gotlands_lan,2013,25725
gotlands_lan,2014,25939
gotlands_lan,2015,26298
gotlands_lan,2016,26600
gotlands_lan,2017,26940
gotlands_lan,2018,27440
gotlands_lan,2019,27257
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,67805
blekinge_lan,2009,64815
blekinge_lan,2010,65716
blekinge_lan,2011,66673
blekinge_lan,2012,66416
blekinge_lan,2013,66848
blekinge_lan,2014,66879
blekinge_lan,2015,67664
blekinge_lan,2016,69822
blekinge_lan,2017,70963
blekinge_lan,2018,70784
blekinge_lan,2019,70546
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,530350
skane_lan,2009,517825
skane_lan,2010,530007
skane_lan,2011,542328
skane_lan,2012,548124
skane_lan,2013,552952
skane_lan,2014,558061
skane_lan,2015,568379
skane_lan,2016,582006
skane_lan,2017,591921
skane_lan,2018,600977
skane_lan,2019,614840
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
