lan,year,forv_man_bio
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,29474.28
stockholms_lan,2009,29645.805
stockholms_lan,2010,31343.026
stockholms_lan,2011,30620.988
stockholms_lan,2012,30497.095
stockholms_lan,2013,29287.12
stockholms_lan,2014,29189.763
stockholms_lan,2015,29846.941
stockholms_lan,2016,30630.047
stockholms_lan,2017,30965.144
stockholms_lan,2018,30104.417
stockholms_lan,2019,30415.998
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,7048.351
uppsala_lan,2009,6874.011
uppsala_lan,2010,7158.989
uppsala_lan,2011,7273.754
uppsala_lan,2012,7369.691
uppsala_lan,2013,7223.121
uppsala_lan,2014,7164.374
uppsala_lan,2015,7184.868
uppsala_lan,2016,7326.208
uppsala_lan,2017,7320.65
uppsala_lan,2018,7164.473
uppsala_lan,2019,7371.729
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,6302.025
sodermansland_lan,2009,6013.263
sodermansland_lan,2010,6299.686
sodermansland_lan,2011,6456.039
sodermansland_lan,2012,6323.905
sodermansland_lan,2013,6144.473
sodermansland_lan,2014,6069.683
sodermansland_lan,2015,6021.556
sodermansland_lan,2016,6085.953
sodermansland_lan,2017,6160.907
sodermansland_lan,2018,6017.831
sodermansland_lan,2019,6184.742
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,12757.503
ostergotlands_lan,2009,12490.589
ostergotlands_lan,2010,13024.45
ostergotlands_lan,2011,13304.592
ostergotlands_lan,2012,13000.344
ostergotlands_lan,2013,12576.765
ostergotlands_lan,2014,12600.336
ostergotlands_lan,2015,12711.584
ostergotlands_lan,2016,12997.5
ostergotlands_lan,2017,13014.831
ostergotlands_lan,2018,12870.806
ostergotlands_lan,2019,12877.183
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,13833.383
jonkopings_lan,2009,13170.933
jonkopings_lan,2010,13591.101
jonkopings_lan,2011,13941.605
jonkopings_lan,2012,13657.639
jonkopings_lan,2013,13392.65
jonkopings_lan,2014,13404.852
jonkopings_lan,2015,13833.4
jonkopings_lan,2016,14114.587
jonkopings_lan,2017,14320.19
jonkopings_lan,2018,14183.711
jonkopings_lan,2019,13999.021
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,7508.578
kronobergs_lan,2009,7256.858
kronobergs_lan,2010,7495.806
kronobergs_lan,2011,7834.815
kronobergs_lan,2012,7603.042
kronobergs_lan,2013,7229.148
kronobergs_lan,2014,7223.182
kronobergs_lan,2015,7149.502
kronobergs_lan,2016,7206.432
kronobergs_lan,2017,7378.843
kronobergs_lan,2018,7145.4
kronobergs_lan,2019,7217.355
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,10686.765
kalmar_lan,2009,10429.483
kalmar_lan,2010,10811.171
kalmar_lan,2011,11190.293
kalmar_lan,2012,10923.676
kalmar_lan,2013,10684.718
kalmar_lan,2014,10872.1
kalmar_lan,2015,10970.854
kalmar_lan,2016,10806.714
kalmar_lan,2017,10912.718
kalmar_lan,2018,10651.636
kalmar_lan,2019,10757.666
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,2308.734
gotlands_lan,2009,2301.678
gotlands_lan,2010,2418.25
gotlands_lan,2011,2551.306
gotlands_lan,2012,2567.013
gotlands_lan,2013,2521.282
gotlands_lan,2014,2493.442
gotlands_lan,2015,2465.005
gotlands_lan,2016,2484.39
gotlands_lan,2017,2502.231
gotlands_lan,2018,2451.186
gotlands_lan,2019,2338.424
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,4777.583
blekinge_lan,2009,4635.168
blekinge_lan,2010,4732.125
blekinge_lan,2011,4875.508
blekinge_lan,2012,4605.714
blekinge_lan,2013,4486.299
blekinge_lan,2014,4438.335
blekinge_lan,2015,4336.456
blekinge_lan,2016,4418.017
blekinge_lan,2017,4409.647
blekinge_lan,2018,4243.373
blekinge_lan,2019,4285.492
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
