lan,year,forv_mn
skane_lan,2021,657003
skane_lan,2022,672502
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,128440
hallands_lan,2009,124832
hallands_lan,2010,128600
hallands_lan,2011,134690
hallands_lan,2012,135450
hallands_lan,2013,135118
hallands_lan,2014,136168
hallands_lan,2015,138544
hallands_lan,2016,141132
hallands_lan,2017,144056
hallands_lan,2018,145218
hallands_lan,2019,147274
hallands_lan,2020,147840
hallands_lan,2021,151609
hallands_lan,2022,153189
hallands_lan,2023,
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,799112
v_gotaland_lan,2009,763998
v_gotaland_lan,2010,784042
v_gotaland_lan,2011,812188
v_gotaland_lan,2012,818632
v_gotaland_lan,2013,823618
v_gotaland_lan,2014,829046
v_gotaland_lan,2015,846510
v_gotaland_lan,2016,869302
v_gotaland_lan,2017,890954
v_gotaland_lan,2018,905404
v_gotaland_lan,2019,910468
v_gotaland_lan,2020,898766
v_gotaland_lan,2021,921809
v_gotaland_lan,2022,947230
v_gotaland_lan,2023,
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,125940
varmlands_lan,2009,119296
varmlands_lan,2010,121838
varmlands_lan,2011,126626
varmlands_lan,2012,126480
varmlands_lan,2013,125906
varmlands_lan,2014,125144
varmlands_lan,2015,126554
varmlands_lan,2016,128352
varmlands_lan,2017,131140
varmlands_lan,2018,132856
varmlands_lan,2019,133188
varmlands_lan,2020,131930
varmlands_lan,2021,134416
varmlands_lan,2022,136994
varmlands_lan,2023,
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,134606
orebro_lan,2009,127608
orebro_lan,2010,131146
orebro_lan,2011,135946
orebro_lan,2012,136244
orebro_lan,2013,136746
orebro_lan,2014,137422
orebro_lan,2015,139104
orebro_lan,2016,142508
orebro_lan,2017,145854
orebro_lan,2018,148414
orebro_lan,2019,149696
orebro_lan,2020,149679
orebro_lan,2021,153348
orebro_lan,2022,156248
orebro_lan,2023,
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,120132
vastmanlands_lan,2009,113608
vastmanlands_lan,2010,116786
vastmanlands_lan,2011,120966
vastmanlands_lan,2012,121866
vastmanlands_lan,2013,123420
vastmanlands_lan,2014,122854
vastmanlands_lan,2015,123732
vastmanlands_lan,2016,124236
vastmanlands_lan,2017,126482
vastmanlands_lan,2018,129082
vastmanlands_lan,2019,129860
vastmanlands_lan,2020,127817
vastmanlands_lan,2021,131111
vastmanlands_lan,2022,133719
vastmanlands_lan,2023,
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,133520
dalarna_lan,2009,129114
dalarna_lan,2010,131364
dalarna_lan,2011,135142
dalarna_lan,2012,135112
dalarna_lan,2013,134894
dalarna_lan,2014,134772
dalarna_lan,2015,135808
dalarna_lan,2016,137978
dalarna_lan,2017,140402
dalarna_lan,2018,141666
dalarna_lan,2019,141920
dalarna_lan,2020,140314
dalarna_lan,2021,142106
dalarna_lan,2022,142937
dalarna_lan,2023,
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,133456
gavleborg_lan,2009,126806
gavleborg_lan,2010,129378
gavleborg_lan,2011,133252
gavleborg_lan,2012,132164
gavleborg_lan,2013,131776
gavleborg_lan,2014,131076
gavleborg_lan,2015,131252
gavleborg_lan,2016,133072
gavleborg_lan,2017,135864
gavleborg_lan,2018,137776
gavleborg_lan,2019,136816
gavleborg_lan,2020,135897
gavleborg_lan,2021,138478
gavleborg_lan,2022,139049
gavleborg_lan,2023,
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,119008
vasternorrlands_lan,2009,114130
vasternorrlands_lan,2010,114102
vasternorrlands_lan,2011,117792
vasternorrlands_lan,2012,118922
vasternorrlands_lan,2013,119660
vasternorrlands_lan,2014,119264
vasternorrlands_lan,2015,120090
vasternorrlands_lan,2016,121348
vasternorrlands_lan,2017,122510
vasternorrlands_lan,2018,123060
vasternorrlands_lan,2019,122304
vasternorrlands_lan,2020,120588
vasternorrlands_lan,2021,121195
vasternorrlands_lan,2022,122140
vasternorrlands_lan,2023,
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,62058
jamtlands_lan,2009,59856
jamtlands_lan,2010,60476
jamtlands_lan,2011,63004
jamtlands_lan,2012,62776
jamtlands_lan,2013,63458
jamtlands_lan,2014,63396
jamtlands_lan,2015,64278
jamtlands_lan,2016,65178
jamtlands_lan,2017,66550
jamtlands_lan,2018,66942
jamtlands_lan,2019,66748
jamtlands_lan,2020,65791
jamtlands_lan,2021,67006
jamtlands_lan,2022,68449
jamtlands_lan,2023,
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,127492
vasterbottens_lan,2009,121712
vasterbottens_lan,2010,124666
vasterbottens_lan,2011,129890
vasterbottens_lan,2012,131596
vasterbottens_lan,2013,132844
vasterbottens_lan,2014,132930
vasterbottens_lan,2015,134244
vasterbottens_lan,2016,136210
vasterbottens_lan,2017,138268
vasterbottens_lan,2018,140290
vasterbottens_lan,2019,141804
vasterbottens_lan,2020,140087
vasterbottens_lan,2021,143197
vasterbottens_lan,2022,147265
vasterbottens_lan,2023,
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,122878
norrbottens_lan,2009,118304
norrbottens_lan,2010,122054
norrbottens_lan,2011,127788
norrbottens_lan,2012,129422
norrbottens_lan,2013,131326
norrbottens_lan,2014,131840
norrbottens_lan,2015,131838
norrbottens_lan,2016,132178
norrbottens_lan,2017,132078
norrbottens_lan,2018,133036
norrbottens_lan,2019,131342
norrbottens_lan,2020,128965
norrbottens_lan,2021,130972
norrbottens_lan,2022,132594
norrbottens_lan,2023,
