lan,year,forv_mn
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,1094280
stockholms_lan,2009,1080452
stockholms_lan,2010,1114444
stockholms_lan,2011,1151264
stockholms_lan,2012,1178656
stockholms_lan,2013,1198904
stockholms_lan,2014,1217836
stockholms_lan,2015,1243064
stockholms_lan,2016,1270550
stockholms_lan,2017,1299848
stockholms_lan,2018,1317194
stockholms_lan,2019,1329070
stockholms_lan,2020,1317969
stockholms_lan,2021,1360189
stockholms_lan,2022,1403331
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,134280
uppsala_lan,2009,132394
uppsala_lan,2010,136826
uppsala_lan,2011,143114
uppsala_lan,2012,146076
uppsala_lan,2013,149026
uppsala_lan,2014,150728
uppsala_lan,2015,153434
uppsala_lan,2016,157332
uppsala_lan,2017,161088
uppsala_lan,2018,163560
uppsala_lan,2019,167536
uppsala_lan,2020,166673
uppsala_lan,2021,171300
uppsala_lan,2022,174785
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,114222
sodermansland_lan,2009,107666
sodermansland_lan,2010,110722
sodermansland_lan,2011,115008
sodermansland_lan,2012,114526
sodermansland_lan,2013,115698
sodermansland_lan,2014,115088
sodermansland_lan,2015,116056
sodermansland_lan,2016,117638
sodermansland_lan,2017,120098
sodermansland_lan,2018,121848
sodermansland_lan,2019,122750
sodermansland_lan,2020,119943
sodermansland_lan,2021,123840
sodermansland_lan,2022,126913
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,203106
ostergotlands_lan,2009,197078
ostergotlands_lan,2010,200732
ostergotlands_lan,2011,206598
ostergotlands_lan,2012,207802
ostergotlands_lan,2013,210504
ostergotlands_lan,2014,211918
ostergotlands_lan,2015,214990
ostergotlands_lan,2016,220110
ostergotlands_lan,2017,224940
ostergotlands_lan,2018,228800
ostergotlands_lan,2019,232418
ostergotlands_lan,2020,230579
ostergotlands_lan,2021,236612
ostergotlands_lan,2022,240245
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,178990
jonkopings_lan,2009,168700
jonkopings_lan,2010,174226
jonkopings_lan,2011,180090
jonkopings_lan,2012,179534
jonkopings_lan,2013,179550
jonkopings_lan,2014,181038
jonkopings_lan,2015,184076
jonkopings_lan,2016,188934
jonkopings_lan,2017,193108
jonkopings_lan,2018,196134
jonkopings_lan,2019,195838
jonkopings_lan,2020,193601
jonkopings_lan,2021,198673
jonkopings_lan,2022,201953
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,101140
kronobergs_lan,2009,95738
kronobergs_lan,2010,97760
kronobergs_lan,2011,100916
kronobergs_lan,2012,100538
kronobergs_lan,2013,100066
kronobergs_lan,2014,101214
kronobergs_lan,2015,102514
kronobergs_lan,2016,104682
kronobergs_lan,2017,107886
kronobergs_lan,2018,109494
kronobergs_lan,2019,110182
kronobergs_lan,2020,108155
kronobergs_lan,2021,111388
kronobergs_lan,2022,113023
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,112852
kalmar_lan,2009,108432
kalmar_lan,2010,110642
kalmar_lan,2011,113094
kalmar_lan,2012,112230
kalmar_lan,2013,112492
kalmar_lan,2014,112842
kalmar_lan,2015,113802
kalmar_lan,2016,115526
kalmar_lan,2017,117112
kalmar_lan,2018,117956
kalmar_lan,2019,118208
kalmar_lan,2020,117735
kalmar_lan,2021,120124
kalmar_lan,2022,120883
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,26094
gotlands_lan,2009,25920
gotlands_lan,2010,26324
gotlands_lan,2011,27310
gotlands_lan,2012,27126
gotlands_lan,2013,26964
gotlands_lan,2014,27096
gotlands_lan,2015,27452
gotlands_lan,2016,27700
gotlands_lan,2017,28390
gotlands_lan,2018,28896
gotlands_lan,2019,28326
gotlands_lan,2020,28215
gotlands_lan,2021,29044
gotlands_lan,2022,29289
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,73464
blekinge_lan,2009,69534
blekinge_lan,2010,70202
blekinge_lan,2011,72026
blekinge_lan,2012,71330
blekinge_lan,2013,71786
blekinge_lan,2014,71682
blekinge_lan,2015,72476
blekinge_lan,2016,74812
blekinge_lan,2017,76854
blekinge_lan,2018,76934
blekinge_lan,2019,76178
blekinge_lan,2020,75466
blekinge_lan,2021,76410
blekinge_lan,2022,77650
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,555738
skane_lan,2009,538266
skane_lan,2010,551180
skane_lan,2011,568490
skane_lan,2012,571396
skane_lan,2013,575230
skane_lan,2014,580578
skane_lan,2015,589752
skane_lan,2016,602078
skane_lan,2017,614044
skane_lan,2018,624532
skane_lan,2019,635474
skane_lan,2020,638439
