lan,year,avs_tilv_tra
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,177.8
stockholms_lan,2009,189.5
stockholms_lan,2010,190.3
stockholms_lan,2011,200.6
stockholms_lan,2012,200.9
stockholms_lan,2013,207.6
stockholms_lan,2014,206.9
stockholms_lan,2015,204.3
stockholms_lan,2016,195.8
stockholms_lan,2017,184.7
stockholms_lan,2018,
stockholms_lan,2019,
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,332.6
uppsala_lan,2009,327.5
uppsala_lan,2010,338.8
uppsala_lan,2011,342
uppsala_lan,2012,338
uppsala_lan,2013,329
uppsala_lan,2014,331.6
uppsala_lan,2015,322.9
uppsala_lan,2016,312.6
uppsala_lan,2017,299.6
uppsala_lan,2018,
uppsala_lan,2019,
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,255.2
sodermansland_lan,2009,262.6
sodermansland_lan,2010,264.4
sodermansland_lan,2011,273.4
sodermansland_lan,2012,262.7
sodermansland_lan,2013,253.1
sodermansland_lan,2014,243.6
sodermansland_lan,2015,231.7
sodermansland_lan,2016,223.5
sodermansland_lan,2017,222.6
sodermansland_lan,2018,
sodermansland_lan,2019,
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,477.8
ostergotlands_lan,2009,490.1
ostergotlands_lan,2010,499.3
ostergotlands_lan,2011,499.7
ostergotlands_lan,2012,499.1
ostergotlands_lan,2013,482
ostergotlands_lan,2014,462.9
ostergotlands_lan,2015,443.4
ostergotlands_lan,2016,424.1
ostergotlands_lan,2017,405.3
ostergotlands_lan,2018,
ostergotlands_lan,2019,
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,480.8
jonkopings_lan,2009,487.4
jonkopings_lan,2010,504.2
jonkopings_lan,2011,523.5
jonkopings_lan,2012,527.2
jonkopings_lan,2013,511.8
jonkopings_lan,2014,502.3
jonkopings_lan,2015,490.2
jonkopings_lan,2016,475.3
jonkopings_lan,2017,466.1
jonkopings_lan,2018,
jonkopings_lan,2019,
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,382.7
kronobergs_lan,2009,381.8
kronobergs_lan,2010,393.5
kronobergs_lan,2011,392
kronobergs_lan,2012,402.6
kronobergs_lan,2013,415
kronobergs_lan,2014,421.2
kronobergs_lan,2015,420.4
kronobergs_lan,2016,414.7
kronobergs_lan,2017,405.1
kronobergs_lan,2018,
kronobergs_lan,2019,
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,492.8
kalmar_lan,2009,495.1
kalmar_lan,2010,506.8
kalmar_lan,2011,510.9
kalmar_lan,2012,528.7
kalmar_lan,2013,531.4
kalmar_lan,2014,518.1
kalmar_lan,2015,497.8
kalmar_lan,2016,472.1
kalmar_lan,2017,447.3
kalmar_lan,2018,
kalmar_lan,2019,
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,44.2
gotlands_lan,2009,43.8
gotlands_lan,2010,43.3
gotlands_lan,2011,46.1
gotlands_lan,2012,44.6
gotlands_lan,2013,43.8
gotlands_lan,2014,42.3
gotlands_lan,2015,38.5
gotlands_lan,2016,37.4
gotlands_lan,2017,36.7
gotlands_lan,2018,
gotlands_lan,2019,
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,145.9
blekinge_lan,2009,147.2
blekinge_lan,2010,154.1
blekinge_lan,2011,170.2
blekinge_lan,2012,165.7
blekinge_lan,2013,169.1
blekinge_lan,2014,169.2
blekinge_lan,2015,161
blekinge_lan,2016,154.6
blekinge_lan,2017,146.9
blekinge_lan,2018,
blekinge_lan,2019,
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,303.2
skane_lan,2009,310
skane_lan,2010,320.5
skane_lan,2011,348
skane_lan,2012,348.2
skane_lan,2013,333.3
skane_lan,2014,330.8
skane_lan,2015,341.3
skane_lan,2016,326.6
skane_lan,2017,325.6
skane_lan,2018,
skane_lan,2019,
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
