lan,year,ant_kon
hallands_lan,2012,220
hallands_lan,2013,183
hallands_lan,2014,189
hallands_lan,2015,176
hallands_lan,2016,165
hallands_lan,2017,147
hallands_lan,2018,182
hallands_lan,2019,165
hallands_lan,2020,174
hallands_lan,2021,157
hallands_lan,2022,172
hallands_lan,2023,215
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,
v_gotaland_lan,2009,1136
v_gotaland_lan,2010,1178
v_gotaland_lan,2011,1055
v_gotaland_lan,2012,1105
v_gotaland_lan,2013,1205
v_gotaland_lan,2014,1036
v_gotaland_lan,2015,1017
v_gotaland_lan,2016,885
v_gotaland_lan,2017,864
v_gotaland_lan,2018,1057
v_gotaland_lan,2019,1004
v_gotaland_lan,2020,1049
v_gotaland_lan,2021,948
v_gotaland_lan,2022,1000
v_gotaland_lan,2023,1265
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,
varmlands_lan,2009,180
varmlands_lan,2010,172
varmlands_lan,2011,179
varmlands_lan,2012,183
varmlands_lan,2013,176
varmlands_lan,2014,189
varmlands_lan,2015,161
varmlands_lan,2016,176
varmlands_lan,2017,132
varmlands_lan,2018,169
varmlands_lan,2019,153
varmlands_lan,2020,164
varmlands_lan,2021,144
varmlands_lan,2022,140
varmlands_lan,2023,183
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,
orebro_lan,2009,124
orebro_lan,2010,180
orebro_lan,2011,171
orebro_lan,2012,194
orebro_lan,2013,160
orebro_lan,2014,172
orebro_lan,2015,157
orebro_lan,2016,151
orebro_lan,2017,139
orebro_lan,2018,191
orebro_lan,2019,191
orebro_lan,2020,174
orebro_lan,2021,140
orebro_lan,2022,166
orebro_lan,2023,236
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,
vastmanlands_lan,2009,129
vastmanlands_lan,2010,149
vastmanlands_lan,2011,149
vastmanlands_lan,2012,145
vastmanlands_lan,2013,169
vastmanlands_lan,2014,152
vastmanlands_lan,2015,122
vastmanlands_lan,2016,90
vastmanlands_lan,2017,148
vastmanlands_lan,2018,148
vastmanlands_lan,2019,162
vastmanlands_lan,2020,165
vastmanlands_lan,2021,142
vastmanlands_lan,2022,160
vastmanlands_lan,2023,206
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,
dalarna_lan,2009,169
dalarna_lan,2010,162
dalarna_lan,2011,190
dalarna_lan,2012,216
dalarna_lan,2013,158
dalarna_lan,2014,197
dalarna_lan,2015,142
dalarna_lan,2016,122
dalarna_lan,2017,159
dalarna_lan,2018,164
dalarna_lan,2019,133
dalarna_lan,2020,158
dalarna_lan,2021,125
dalarna_lan,2022,134
dalarna_lan,2023,178
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,
gavleborg_lan,2009,174
gavleborg_lan,2010,165
gavleborg_lan,2011,193
gavleborg_lan,2012,215
gavleborg_lan,2013,200
gavleborg_lan,2014,189
gavleborg_lan,2015,179
gavleborg_lan,2016,137
gavleborg_lan,2017,179
gavleborg_lan,2018,185
gavleborg_lan,2019,166
gavleborg_lan,2020,163
gavleborg_lan,2021,158
gavleborg_lan,2022,143
gavleborg_lan,2023,221
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,
vasternorrlands_lan,2009,160
vasternorrlands_lan,2010,168
vasternorrlands_lan,2011,147
vasternorrlands_lan,2012,139
vasternorrlands_lan,2013,169
vasternorrlands_lan,2014,143
vasternorrlands_lan,2015,119
vasternorrlands_lan,2016,131
vasternorrlands_lan,2017,133
vasternorrlands_lan,2018,159
vasternorrlands_lan,2019,154
vasternorrlands_lan,2020,131
vasternorrlands_lan,2021,137
vasternorrlands_lan,2022,165
vasternorrlands_lan,2023,154
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,
jamtlands_lan,2009,87
jamtlands_lan,2010,82
jamtlands_lan,2011,96
jamtlands_lan,2012,83
jamtlands_lan,2013,98
jamtlands_lan,2014,82
jamtlands_lan,2015,74
jamtlands_lan,2016,63
jamtlands_lan,2017,67
jamtlands_lan,2018,65
jamtlands_lan,2019,71
jamtlands_lan,2020,75
jamtlands_lan,2021,60
jamtlands_lan,2022,40
jamtlands_lan,2023,73
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,
vasterbottens_lan,2009,149
vasterbottens_lan,2010,136
vasterbottens_lan,2011,120
vasterbottens_lan,2012,129
vasterbottens_lan,2013,136
vasterbottens_lan,2014,132
vasterbottens_lan,2015,106
vasterbottens_lan,2016,99
vasterbottens_lan,2017,108
vasterbottens_lan,2018,136
vasterbottens_lan,2019,115
vasterbottens_lan,2020,117
vasterbottens_lan,2021,107
vasterbottens_lan,2022,95
vasterbottens_lan,2023,146
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,
norrbottens_lan,2009,152
norrbottens_lan,2010,141
norrbottens_lan,2011,144
norrbottens_lan,2012,139
norrbottens_lan,2013,120
norrbottens_lan,2014,134
norrbottens_lan,2015,135
norrbottens_lan,2016,137
norrbottens_lan,2017,136
norrbottens_lan,2018,145
norrbottens_lan,2019,125
norrbottens_lan,2020,135
norrbottens_lan,2021,98
norrbottens_lan,2022,102
norrbottens_lan,2023,126
