lan,year,ant_kon
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,
stockholms_lan,2009,2577
stockholms_lan,2010,2408
stockholms_lan,2011,2237
stockholms_lan,2012,2470
stockholms_lan,2013,2521
stockholms_lan,2014,2343
stockholms_lan,2015,2008
stockholms_lan,2016,2103
stockholms_lan,2017,2161
stockholms_lan,2018,2408
stockholms_lan,2019,2641
stockholms_lan,2020,2498
stockholms_lan,2021,2225
stockholms_lan,2022,2376
stockholms_lan,2023,3106
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,
uppsala_lan,2009,155
uppsala_lan,2010,174
uppsala_lan,2011,165
uppsala_lan,2012,227
uppsala_lan,2013,214
uppsala_lan,2014,177
uppsala_lan,2015,216
uppsala_lan,2016,166
uppsala_lan,2017,183
uppsala_lan,2018,222
uppsala_lan,2019,244
uppsala_lan,2020,232
uppsala_lan,2021,196
uppsala_lan,2022,226
uppsala_lan,2023,319
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,
sodermansland_lan,2009,177
sodermansland_lan,2010,198
sodermansland_lan,2011,151
sodermansland_lan,2012,170
sodermansland_lan,2013,164
sodermansland_lan,2014,150
sodermansland_lan,2015,139
sodermansland_lan,2016,138
sodermansland_lan,2017,148
sodermansland_lan,2018,194
sodermansland_lan,2019,185
sodermansland_lan,2020,183
sodermansland_lan,2021,178
sodermansland_lan,2022,161
sodermansland_lan,2023,252
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,
ostergotlands_lan,2009,298
ostergotlands_lan,2010,237
ostergotlands_lan,2011,221
ostergotlands_lan,2012,259
ostergotlands_lan,2013,273
ostergotlands_lan,2014,247
ostergotlands_lan,2015,195
ostergotlands_lan,2016,172
ostergotlands_lan,2017,189
ostergotlands_lan,2018,212
ostergotlands_lan,2019,228
ostergotlands_lan,2020,200
ostergotlands_lan,2021,174
ostergotlands_lan,2022,248
ostergotlands_lan,2023,315
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,
jonkopings_lan,2009,230
jonkopings_lan,2010,242
jonkopings_lan,2011,180
jonkopings_lan,2012,185
jonkopings_lan,2013,224
jonkopings_lan,2014,166
jonkopings_lan,2015,150
jonkopings_lan,2016,138
jonkopings_lan,2017,159
jonkopings_lan,2018,179
jonkopings_lan,2019,173
jonkopings_lan,2020,193
jonkopings_lan,2021,172
jonkopings_lan,2022,176
jonkopings_lan,2023,218
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,
kronobergs_lan,2009,123
kronobergs_lan,2010,97
kronobergs_lan,2011,82
kronobergs_lan,2012,115
kronobergs_lan,2013,119
kronobergs_lan,2014,106
kronobergs_lan,2015,78
kronobergs_lan,2016,74
kronobergs_lan,2017,87
kronobergs_lan,2018,101
kronobergs_lan,2019,103
kronobergs_lan,2020,112
kronobergs_lan,2021,122
kronobergs_lan,2022,127
kronobergs_lan,2023,131
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,
kalmar_lan,2009,236
kalmar_lan,2010,125
kalmar_lan,2011,119
kalmar_lan,2012,154
kalmar_lan,2013,142
kalmar_lan,2014,125
kalmar_lan,2015,136
kalmar_lan,2016,123
kalmar_lan,2017,110
kalmar_lan,2018,132
kalmar_lan,2019,153
kalmar_lan,2020,107
kalmar_lan,2021,111
kalmar_lan,2022,133
kalmar_lan,2023,151
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,
gotlands_lan,2009,29
gotlands_lan,2010,20
gotlands_lan,2011,15
gotlands_lan,2012,30
gotlands_lan,2013,25
gotlands_lan,2014,12
gotlands_lan,2015,28
gotlands_lan,2016,25
gotlands_lan,2017,38
gotlands_lan,2018,23
gotlands_lan,2019,35
gotlands_lan,2020,19
gotlands_lan,2021,21
gotlands_lan,2022,10
gotlands_lan,2023,30
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,
blekinge_lan,2009,104
blekinge_lan,2010,72
blekinge_lan,2011,93
blekinge_lan,2012,76
blekinge_lan,2013,100
blekinge_lan,2014,74
blekinge_lan,2015,62
blekinge_lan,2016,57
blekinge_lan,2017,77
blekinge_lan,2018,90
blekinge_lan,2019,68
blekinge_lan,2020,71
blekinge_lan,2021,69
blekinge_lan,2022,70
blekinge_lan,2023,93
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,
skane_lan,2009,1026
skane_lan,2010,945
skane_lan,2011,1002
skane_lan,2012,979
skane_lan,2013,1104
skane_lan,2014,1098
skane_lan,2015,993
skane_lan,2016,828
skane_lan,2017,981
skane_lan,2018,1023
skane_lan,2019,1054
skane_lan,2020,1126
skane_lan,2021,930
skane_lan,2022,946
skane_lan,2023,1205
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,
hallands_lan,2009,168
hallands_lan,2010,172
hallands_lan,2011,200
