lan,year,netto_lan
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,824507.475
skane_lan,2009,784811.829
skane_lan,2010,835051.995
skane_lan,2011,858739.685
skane_lan,2012,860048.755
skane_lan,2013,864643.116
skane_lan,2014,883951.008
skane_lan,2015,931429.189
skane_lan,2016,966285.975
skane_lan,2017,1020067.033
skane_lan,2018,1094168.944
skane_lan,2019,1133968.29
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,167153.851
hallands_lan,2009,157799.534
hallands_lan,2010,175630.275
hallands_lan,2011,185341.426
hallands_lan,2012,181192.069
hallands_lan,2013,179421.792
hallands_lan,2014,182325.694
hallands_lan,2015,193286.069
hallands_lan,2016,202729.986
hallands_lan,2017,213635.274
hallands_lan,2018,224136.712
hallands_lan,2019,233004.329
hallands_lan,2020,
hallands_lan,2021,
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,1255287.161
v_gotaland_lan,2009,1116017.619
v_gotaland_lan,2010,1257840.772
v_gotaland_lan,2011,1393272.766
v_gotaland_lan,2012,1396313.83
v_gotaland_lan,2013,1363739.078
v_gotaland_lan,2014,1419689.96
v_gotaland_lan,2015,1506628.919
v_gotaland_lan,2016,1553056.199
v_gotaland_lan,2017,1639801.368
v_gotaland_lan,2018,1725574.765
v_gotaland_lan,2019,1810195.01
v_gotaland_lan,2020,
v_gotaland_lan,2021,
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,159377.048
varmlands_lan,2009,140746.929
varmlands_lan,2010,147945.099
varmlands_lan,2011,157991.493
varmlands_lan,2012,154710.684
varmlands_lan,2013,153028.17
varmlands_lan,2014,151683.733
varmlands_lan,2015,155219.788
varmlands_lan,2016,162739.903
varmlands_lan,2017,174782.839
varmlands_lan,2018,183821.502
varmlands_lan,2019,189930.969
varmlands_lan,2020,
varmlands_lan,2021,
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,179304.325
orebro_lan,2009,158979.568
orebro_lan,2010,172430.843
orebro_lan,2011,191591.77
orebro_lan,2012,190026.455
orebro_lan,2013,181353.823
orebro_lan,2014,183008.55
orebro_lan,2015,188050.776
orebro_lan,2016,197916.983
orebro_lan,2017,212386.826
orebro_lan,2018,223680.865
orebro_lan,2019,234144.782
orebro_lan,2020,
orebro_lan,2021,
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,175903.951
vastmanlands_lan,2009,156773.953
vastmanlands_lan,2010,164888.416
vastmanlands_lan,2011,176715.681
vastmanlands_lan,2012,174464.859
vastmanlands_lan,2013,172526.129
vastmanlands_lan,2014,174763.365
vastmanlands_lan,2015,182976.935
vastmanlands_lan,2016,185465.448
vastmanlands_lan,2017,190607.652
vastmanlands_lan,2018,202282.328
vastmanlands_lan,2019,203235.869
vastmanlands_lan,2020,
vastmanlands_lan,2021,
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,189122.683
dalarna_lan,2009,167148.238
dalarna_lan,2010,179678.674
dalarna_lan,2011,188449.448
dalarna_lan,2012,180646.474
dalarna_lan,2013,174333.926
dalarna_lan,2014,178175.757
dalarna_lan,2015,185897.926
dalarna_lan,2016,191482.788
dalarna_lan,2017,201279.839
dalarna_lan,2018,214989.843
dalarna_lan,2019,223498.395
dalarna_lan,2020,
dalarna_lan,2021,
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,165972.535
gavleborg_lan,2009,149803.268
gavleborg_lan,2010,156696.11
gavleborg_lan,2011,156768.582
gavleborg_lan,2012,151524.71
gavleborg_lan,2013,148227.857
gavleborg_lan,2014,149130.186
gavleborg_lan,2015,150138.88
gavleborg_lan,2016,155716.947
gavleborg_lan,2017,166200.025
gavleborg_lan,2018,178079.599
gavleborg_lan,2019,182941.1
gavleborg_lan,2020,
gavleborg_lan,2021,
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,165843.423
vasternorrlands_lan,2009,146945.188
vasternorrlands_lan,2010,155538.54
vasternorrlands_lan,2011,162194.132
vasternorrlands_lan,2012,160936.945
vasternorrlands_lan,2013,156939.854
vasternorrlands_lan,2014,159136.99
vasternorrlands_lan,2015,163810.345
vasternorrlands_lan,2016,163432.623
vasternorrlands_lan,2017,169073.32
vasternorrlands_lan,2018,180208.513
vasternorrlands_lan,2019,189333.737
vasternorrlands_lan,2020,
vasternorrlands_lan,2021,
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,65022.668
jamtlands_lan,2009,59147.337
jamtlands_lan,2010,63292.867
jamtlands_lan,2011,64564.817
jamtlands_lan,2012,64210.588
jamtlands_lan,2013,63413.732
jamtlands_lan,2014,65976.555
jamtlands_lan,2015,66666.277
jamtlands_lan,2016,69054.715
jamtlands_lan,2017,73929.63
jamtlands_lan,2018,78297.044
jamtlands_lan,2019,80979.848
jamtlands_lan,2020,
jamtlands_lan,2021,
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
