lan,year,foradl
blekinge_lan,2017,2005
blekinge_lan,2018,2191
blekinge_lan,2019,2355
blekinge_lan,2020,2565
blekinge_lan,2021,2856
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,6432
skane_lan,2004,6880
skane_lan,2005,6750
skane_lan,2006,8172
skane_lan,2007,9307
skane_lan,2008,10060
skane_lan,2009,10415
skane_lan,2010,11737
skane_lan,2011,12471
skane_lan,2012,12976
skane_lan,2013,12916
skane_lan,2014,14044
skane_lan,2015,15379
skane_lan,2016,16670
skane_lan,2017,17705
skane_lan,2018,19320
skane_lan,2019,20278
skane_lan,2020,21615
skane_lan,2021,22375
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,1907
hallands_lan,2004,1966
hallands_lan,2005,2079
hallands_lan,2006,2326
hallands_lan,2007,2665
hallands_lan,2008,2629
hallands_lan,2009,3074
hallands_lan,2010,3203
hallands_lan,2011,3662
hallands_lan,2012,3647
hallands_lan,2013,3888
hallands_lan,2014,3993
hallands_lan,2015,4552
hallands_lan,2016,4750
hallands_lan,2017,5664
hallands_lan,2018,5906
hallands_lan,2019,7110
hallands_lan,2020,7101
hallands_lan,2021,8268
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,7611
v_gotaland_lan,2004,8842
v_gotaland_lan,2005,9430
v_gotaland_lan,2006,11032
v_gotaland_lan,2007,12737
v_gotaland_lan,2008,13867
v_gotaland_lan,2009,13912
v_gotaland_lan,2010,15199
v_gotaland_lan,2011,16800
v_gotaland_lan,2012,18142
v_gotaland_lan,2013,18590
v_gotaland_lan,2014,20783
v_gotaland_lan,2015,21409
v_gotaland_lan,2016,22230
v_gotaland_lan,2017,24372
v_gotaland_lan,2018,25312
v_gotaland_lan,2019,27407
v_gotaland_lan,2020,28549
v_gotaland_lan,2021,31171
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,2551
varmlands_lan,2004,3066
varmlands_lan,2005,3519
varmlands_lan,2006,3668
varmlands_lan,2007,4051
varmlands_lan,2008,4405
varmlands_lan,2009,4180
varmlands_lan,2010,3390
varmlands_lan,2011,4699
varmlands_lan,2012,4223
varmlands_lan,2013,3503
varmlands_lan,2014,3832
varmlands_lan,2015,3955
varmlands_lan,2016,4151
varmlands_lan,2017,4028
varmlands_lan,2018,4412
varmlands_lan,2019,4723
varmlands_lan,2020,4736
varmlands_lan,2021,5474
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,2377
orebro_lan,2004,2542
orebro_lan,2005,2756
orebro_lan,2006,2858
orebro_lan,2007,3305
orebro_lan,2008,3461
orebro_lan,2009,3151
orebro_lan,2010,3076
orebro_lan,2011,3603
orebro_lan,2012,3530
orebro_lan,2013,3288
orebro_lan,2014,3366
orebro_lan,2015,3828
orebro_lan,2016,4253
orebro_lan,2017,4661
orebro_lan,2018,4597
orebro_lan,2019,4931
orebro_lan,2020,5222
orebro_lan,2021,5733
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,2641
vastmanlands_lan,2004,2301
vastmanlands_lan,2005,2282
vastmanlands_lan,2006,2593
vastmanlands_lan,2007,3100
vastmanlands_lan,2008,3365
vastmanlands_lan,2009,3023
vastmanlands_lan,2010,3056
vastmanlands_lan,2011,3263
vastmanlands_lan,2012,3426
vastmanlands_lan,2013,3407
vastmanlands_lan,2014,3503
vastmanlands_lan,2015,4436
vastmanlands_lan,2016,4411
vastmanlands_lan,2017,4398
vastmanlands_lan,2018,4621
vastmanlands_lan,2019,4540
vastmanlands_lan,2020,4800
vastmanlands_lan,2021,5597
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,3242
dalarna_lan,2004,3635
dalarna_lan,2005,3503
dalarna_lan,2006,4107
dalarna_lan,2007,4426
dalarna_lan,2008,5099
dalarna_lan,2009,4885
dalarna_lan,2010,4115
dalarna_lan,2011,5788
dalarna_lan,2012,5465
dalarna_lan,2013,4867
dalarna_lan,2014,5264
dalarna_lan,2015,5258
dalarna_lan,2016,5768
dalarna_lan,2017,5718
dalarna_lan,2018,6183
dalarna_lan,2019,6679
dalarna_lan,2020,6062
dalarna_lan,2021,7062
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,2091
gavleborg_lan,2004,2636
gavleborg_lan,2005,2535
gavleborg_lan,2006,3065
gavleborg_lan,2007,3787
gavleborg_lan,2008,4294
gavleborg_lan,2009,4026
gavleborg_lan,2010,4077
gavleborg_lan,2011,4636
gavleborg_lan,2012,4575
gavleborg_lan,2013,4517
gavleborg_lan,2014,4947
gavleborg_lan,2015,4977
gavleborg_lan,2016,5435
gavleborg_lan,2017,6366
gavleborg_lan,2018,7343
