lan,year,netto_bio
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,105471.801059
stockholms_lan,2009,109615.238057
stockholms_lan,2010,119186.037113
stockholms_lan,2011,119139.208086
stockholms_lan,2012,120967.054149
stockholms_lan,2013,112738.489923
stockholms_lan,2014,115240.822242
stockholms_lan,2015,123175.685629
stockholms_lan,2016,130185.726983
stockholms_lan,2017,140908.499276
stockholms_lan,2018,152344.496829
stockholms_lan,2019,163534.898991
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,18690.810575
uppsala_lan,2009,18817.251133
uppsala_lan,2010,20922.519508
uppsala_lan,2011,21147.601096
uppsala_lan,2012,22473.396277
uppsala_lan,2013,22135.240335
uppsala_lan,2014,22522.478379
uppsala_lan,2015,23512.531439
uppsala_lan,2016,24836.728882
uppsala_lan,2017,24284.126451
uppsala_lan,2018,25849.606011
uppsala_lan,2019,27377.084883
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,14214.918295
sodermansland_lan,2009,13042.002192
sodermansland_lan,2010,15158.15382
sodermansland_lan,2011,15629.935394
sodermansland_lan,2012,15447.183996
sodermansland_lan,2013,15333.176568
sodermansland_lan,2014,15179.978904
sodermansland_lan,2015,15811.909327
sodermansland_lan,2016,16235.552388
sodermansland_lan,2017,17279.901499
sodermansland_lan,2018,18296.311705
sodermansland_lan,2019,19103.404671
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,38736.066854
ostergotlands_lan,2009,36314.130235
ostergotlands_lan,2010,38464.450372
ostergotlands_lan,2011,40930.491686
ostergotlands_lan,2012,39797.238833
ostergotlands_lan,2013,38768.491648
ostergotlands_lan,2014,39316.310336
ostergotlands_lan,2015,41410.767559
ostergotlands_lan,2016,43285.004458
ostergotlands_lan,2017,44938.406
ostergotlands_lan,2018,46966.77105
ostergotlands_lan,2019,48500.656197
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,36265.828489
jonkopings_lan,2009,31640.572552
jonkopings_lan,2010,36336.220308
jonkopings_lan,2011,38299.054726
jonkopings_lan,2012,37257.323083
jonkopings_lan,2013,35268.079499
jonkopings_lan,2014,37896.848622
jonkopings_lan,2015,41839.858774
jonkopings_lan,2016,43993.527122
jonkopings_lan,2017,47656.149626
jonkopings_lan,2018,48914.263439
jonkopings_lan,2019,50121.090395
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,21470.477242
kronobergs_lan,2009,18987.380358
kronobergs_lan,2010,21874.682868
kronobergs_lan,2011,22562.183144
kronobergs_lan,2012,18528.543869
kronobergs_lan,2013,16770.077533
kronobergs_lan,2014,17957.37468
kronobergs_lan,2015,18467.81283
kronobergs_lan,2016,18999.565191
kronobergs_lan,2017,20133.559116
kronobergs_lan,2018,21430.410884
kronobergs_lan,2019,22183.59915
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,28489.247588
kalmar_lan,2009,27440.544572
kalmar_lan,2010,30379.024778
kalmar_lan,2011,31298.993569
kalmar_lan,2012,29928.284119
kalmar_lan,2013,30471.87835
kalmar_lan,2014,33411.060222
kalmar_lan,2015,37531.835367
kalmar_lan,2016,34433.981665
kalmar_lan,2017,37295.865038
kalmar_lan,2018,38827.872429
kalmar_lan,2019,40449.541986
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,5097.008786
gotlands_lan,2009,5029.510852
gotlands_lan,2010,5353.921552
gotlands_lan,2011,5600.788152
gotlands_lan,2012,5522.369598
gotlands_lan,2013,5840.602014
gotlands_lan,2014,5912.875883
gotlands_lan,2015,5780.67415
gotlands_lan,2016,6317.164154
gotlands_lan,2017,6815.394767
gotlands_lan,2018,7100.282007
gotlands_lan,2019,7267.176268
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,17556.572335
blekinge_lan,2009,15917.328942
blekinge_lan,2010,18288.822893
blekinge_lan,2011,18465.626342
blekinge_lan,2012,16465.635273
blekinge_lan,2013,15860.713581
blekinge_lan,2014,16514.836482
blekinge_lan,2015,17046.825936
blekinge_lan,2016,17143.242466
blekinge_lan,2017,19475.488104
blekinge_lan,2018,21357.119289
blekinge_lan,2019,20697.445865
