lan,year,fora_bio_tja
skane_lan,2010,476.744
skane_lan,2011,500.086
skane_lan,2012,511.943
skane_lan,2013,535.35
skane_lan,2014,547.442
skane_lan,2015,601.964
skane_lan,2016,637.439
skane_lan,2017,725.549
skane_lan,2018,720.308
skane_lan,2019,730.194
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,68.931
hallands_lan,2009,66.725
hallands_lan,2010,77.863
hallands_lan,2011,90.926
hallands_lan,2012,90.778
hallands_lan,2013,102.186
hallands_lan,2014,111.833
hallands_lan,2015,123.276
hallands_lan,2016,133.2
hallands_lan,2017,142.486
hallands_lan,2018,148.626
hallands_lan,2019,153.024
hallands_lan,2020,
hallands_lan,2021,
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,656.41
v_gotaland_lan,2009,581.964
v_gotaland_lan,2010,619.485
v_gotaland_lan,2011,692.73
v_gotaland_lan,2012,743.713
v_gotaland_lan,2013,758.709
v_gotaland_lan,2014,802.022
v_gotaland_lan,2015,898.915
v_gotaland_lan,2016,979.406
v_gotaland_lan,2017,1025.428
v_gotaland_lan,2018,1096.735
v_gotaland_lan,2019,1125.136
v_gotaland_lan,2020,
v_gotaland_lan,2021,
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,68.555
varmlands_lan,2009,64.172
varmlands_lan,2010,67.935
varmlands_lan,2011,72.976
varmlands_lan,2012,74.194
varmlands_lan,2013,77.529
varmlands_lan,2014,81.272
varmlands_lan,2015,92.135
varmlands_lan,2016,100.458
varmlands_lan,2017,108.611
varmlands_lan,2018,111.857
varmlands_lan,2019,115.067
varmlands_lan,2020,
varmlands_lan,2021,
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,99.552
orebro_lan,2009,91.12
orebro_lan,2010,95.784
orebro_lan,2011,105.115
orebro_lan,2012,103.976
orebro_lan,2013,102.781
orebro_lan,2014,104.578
orebro_lan,2015,115.423
orebro_lan,2016,123.155
orebro_lan,2017,131.156
orebro_lan,2018,135.942
orebro_lan,2019,140.143
orebro_lan,2020,
orebro_lan,2021,
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,73.713
vastmanlands_lan,2009,71.183
vastmanlands_lan,2010,78.464
vastmanlands_lan,2011,89.409
vastmanlands_lan,2012,96.845
vastmanlands_lan,2013,103.399
vastmanlands_lan,2014,106.24
vastmanlands_lan,2015,119.028
vastmanlands_lan,2016,124.752
vastmanlands_lan,2017,132.524
vastmanlands_lan,2018,143.225
vastmanlands_lan,2019,146.329
vastmanlands_lan,2020,
vastmanlands_lan,2021,
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,81.593
dalarna_lan,2009,86.993
dalarna_lan,2010,96.25
dalarna_lan,2011,98.828
dalarna_lan,2012,105.565
dalarna_lan,2013,110.791
dalarna_lan,2014,115.267
dalarna_lan,2015,128.577
dalarna_lan,2016,136.317
dalarna_lan,2017,143.664
dalarna_lan,2018,147.674
dalarna_lan,2019,154.584
dalarna_lan,2020,
dalarna_lan,2021,
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,84.569
gavleborg_lan,2009,78.156
gavleborg_lan,2010,82.176
gavleborg_lan,2011,88.694
gavleborg_lan,2012,90.823
gavleborg_lan,2013,91.777
gavleborg_lan,2014,95.655
gavleborg_lan,2015,102.6
gavleborg_lan,2016,106.295
gavleborg_lan,2017,112.565
gavleborg_lan,2018,116.633
gavleborg_lan,2019,119.989
gavleborg_lan,2020,
gavleborg_lan,2021,
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,65.435
vasternorrlands_lan,2009,66.731
vasternorrlands_lan,2010,72.392
vasternorrlands_lan,2011,77.962
vasternorrlands_lan,2012,80.731
vasternorrlands_lan,2013,82.513
vasternorrlands_lan,2014,79.071
vasternorrlands_lan,2015,86.131
vasternorrlands_lan,2016,91.556
vasternorrlands_lan,2017,94.735
vasternorrlands_lan,2018,101.177
vasternorrlands_lan,2019,104.12
vasternorrlands_lan,2020,
vasternorrlands_lan,2021,
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,56.625
jamtlands_lan,2009,55.502
jamtlands_lan,2010,54.217
jamtlands_lan,2011,55.107
jamtlands_lan,2012,52.39
jamtlands_lan,2013,56.878
jamtlands_lan,2014,60.056
jamtlands_lan,2015,62.682
jamtlands_lan,2016,66.017
jamtlands_lan,2017,72.591
jamtlands_lan,2018,76.059
jamtlands_lan,2019,79.562
jamtlands_lan,2020,
jamtlands_lan,2021,
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,65.649
vasterbottens_lan,2009,62.478
vasterbottens_lan,2010,67.238
vasterbottens_lan,2011,73.435
vasterbottens_lan,2012,80.199
vasterbottens_lan,2013,83.807
vasterbottens_lan,2014,85.704
vasterbottens_lan,2015,90.699
vasterbottens_lan,2016,98.464
vasterbottens_lan,2017,98.666
vasterbottens_lan,2018,104.21
vasterbottens_lan,2019,107.492
vasterbottens_lan,2020,
vasterbottens_lan,2021,
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,88.801
norrbottens_lan,2009,85.458
norrbottens_lan,2010,90.207
norrbottens_lan,2011,94.727
norrbottens_lan,2012,100.286
norrbottens_lan,2013,96.45
norrbottens_lan,2014,100.294
norrbottens_lan,2015,109.378
norrbottens_lan,2016,115.481
norrbottens_lan,2017,124.258
norrbottens_lan,2018,130.279
norrbottens_lan,2019,133.48
norrbottens_lan,2020,
norrbottens_lan,2021,
norrbottens_lan,2022,
norrbottens_lan,2023,
riket,2003,
riket,2004,
riket,2005,
riket,2006,
riket,2007,
riket,2008,3938.545
riket,2009,3778.026
riket,2010,4142.601
riket,2011,4510.48
riket,2012,4667.54
riket,2013,4879.428
riket,2014,5109.792
riket,2015,5596.466
riket,2016,6021.577
riket,2017,6359.463
riket,2018,6668.25
riket,2019,6854.681
riket,2020,
riket,2021,
riket,2022,
riket,2023,
