lan,year,forv_bio_mark_mn
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,27747.55
stockholms_lan,2009,27923.8
stockholms_lan,2010,29504.37
stockholms_lan,2011,28690.35
stockholms_lan,2012,28483.21
stockholms_lan,2013,27197.08
stockholms_lan,2014,27059.78
stockholms_lan,2015,27643.18
stockholms_lan,2016,28371.28
stockholms_lan,2017,28647.76
stockholms_lan,2018,27774.18
stockholms_lan,2019,28019.12
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,6896.14
uppsala_lan,2009,6722.12
uppsala_lan,2010,6996.12
uppsala_lan,2011,7095.38
uppsala_lan,2012,7192.29
uppsala_lan,2013,7035.14
uppsala_lan,2014,6974.09
uppsala_lan,2015,6984.12
uppsala_lan,2016,7118.88
uppsala_lan,2017,7101.67
uppsala_lan,2018,6949.34
uppsala_lan,2019,7149.67
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,6190
sodermansland_lan,2009,5903.28
sodermansland_lan,2010,6173.49
sodermansland_lan,2011,6314.97
sodermansland_lan,2012,6179.17
sodermansland_lan,2013,5994.87
sodermansland_lan,2014,5918.7
sodermansland_lan,2015,5866.18
sodermansland_lan,2016,5926.29
sodermansland_lan,2017,5989.45
sodermansland_lan,2018,5841.36
sodermansland_lan,2019,6014
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,12515.95
ostergotlands_lan,2009,12259.64
ostergotlands_lan,2010,12775.63
ostergotlands_lan,2011,13037.06
ostergotlands_lan,2012,12725.37
ostergotlands_lan,2013,12296.45
ostergotlands_lan,2014,12313.29
ostergotlands_lan,2015,12416.09
ostergotlands_lan,2016,12686.7
ostergotlands_lan,2017,12692.79
ostergotlands_lan,2018,12538.24
ostergotlands_lan,2019,12527.26
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,13695.96
jonkopings_lan,2009,13044.37
jonkopings_lan,2010,13438.67
jonkopings_lan,2011,13776.95
jonkopings_lan,2012,13492.25
jonkopings_lan,2013,13219.21
jonkopings_lan,2014,13219.29
jonkopings_lan,2015,13635.47
jonkopings_lan,2016,13897.75
jonkopings_lan,2017,14091.95
jonkopings_lan,2018,13951.74
jonkopings_lan,2019,13772.81
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,7435.46
kronobergs_lan,2009,7187.59
kronobergs_lan,2010,7416.89
kronobergs_lan,2011,7754.33
kronobergs_lan,2012,7522.45
kronobergs_lan,2013,7138.84
kronobergs_lan,2014,7130.05
kronobergs_lan,2015,7050.21
kronobergs_lan,2016,7104.13
kronobergs_lan,2017,7268.33
kronobergs_lan,2018,7026.82
kronobergs_lan,2019,7098.44
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,10586.78
kalmar_lan,2009,10332.47
kalmar_lan,2010,10708.2
kalmar_lan,2011,11084.8
kalmar_lan,2012,10811.46
kalmar_lan,2013,10558.24
kalmar_lan,2014,10742.96
kalmar_lan,2015,10837.76
kalmar_lan,2016,10660.45
kalmar_lan,2017,10762.73
kalmar_lan,2018,10505.67
kalmar_lan,2019,10626.02
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,2270.57
gotlands_lan,2009,2264.04
gotlands_lan,2010,2378.31
gotlands_lan,2011,2511.28
gotlands_lan,2012,2530.34
gotlands_lan,2013,2481.42
gotlands_lan,2014,2452.25
gotlands_lan,2015,2422.49
gotlands_lan,2016,2442.49
gotlands_lan,2017,2459.33
gotlands_lan,2018,2407.63
gotlands_lan,2019,2295.67
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,4705.8
blekinge_lan,2009,4563.44
blekinge_lan,2010,4662.08
blekinge_lan,2011,4802.28
blekinge_lan,2012,4526.52
blekinge_lan,2013,4406.82
blekinge_lan,2014,4361.2
blekinge_lan,2015,4253.51
blekinge_lan,2016,4327.08
blekinge_lan,2017,4314.94
blekinge_lan,2018,4148.57
blekinge_lan,2019,4195.24
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
