lan,year,forv_bio_tja_kvn
skane_lan,2009,639.011
skane_lan,2010,685.845
skane_lan,2011,696.769
skane_lan,2012,730.129
skane_lan,2013,723.217
skane_lan,2014,725.044
skane_lan,2015,756.605
skane_lan,2016,769.722
skane_lan,2017,773.622
skane_lan,2018,781.48
skane_lan,2019,860.649
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,130.729
hallands_lan,2009,132.034
hallands_lan,2010,140.091
hallands_lan,2011,145.678
hallands_lan,2012,154.412
hallands_lan,2013,158.21
hallands_lan,2014,161.396
hallands_lan,2015,161.021
hallands_lan,2016,163.872
hallands_lan,2017,171.001
hallands_lan,2018,171.565
hallands_lan,2019,186.157
hallands_lan,2020,
hallands_lan,2021,
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,910.146
v_gotaland_lan,2009,867.314
v_gotaland_lan,2010,933.106
v_gotaland_lan,2011,959.006
v_gotaland_lan,2012,1026.831
v_gotaland_lan,2013,1018.563
v_gotaland_lan,2014,1022.851
v_gotaland_lan,2015,1072.808
v_gotaland_lan,2016,1098.769
v_gotaland_lan,2017,1120.803
v_gotaland_lan,2018,1141.021
v_gotaland_lan,2019,1209.061
v_gotaland_lan,2020,
v_gotaland_lan,2021,
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,133.641
varmlands_lan,2009,129.86
varmlands_lan,2010,136.794
varmlands_lan,2011,139.439
varmlands_lan,2012,145.716
varmlands_lan,2013,147.121
varmlands_lan,2014,144.211
varmlands_lan,2015,149.208
varmlands_lan,2016,149.06
varmlands_lan,2017,149.317
varmlands_lan,2018,148.448
varmlands_lan,2019,151.952
varmlands_lan,2020,
varmlands_lan,2021,
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,174.726
orebro_lan,2009,160.979
orebro_lan,2010,176.815
orebro_lan,2011,178.104
orebro_lan,2012,178.341
orebro_lan,2013,171.985
orebro_lan,2014,168.538
orebro_lan,2015,170.443
orebro_lan,2016,169.552
orebro_lan,2017,169.728
orebro_lan,2018,167.795
orebro_lan,2019,172.974
orebro_lan,2020,
orebro_lan,2021,
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,131.137
vastmanlands_lan,2009,124.738
vastmanlands_lan,2010,131.269
vastmanlands_lan,2011,128.596
vastmanlands_lan,2012,136.388
vastmanlands_lan,2013,139.834
vastmanlands_lan,2014,138.697
vastmanlands_lan,2015,143.674
vastmanlands_lan,2016,149.003
vastmanlands_lan,2017,157.299
vastmanlands_lan,2018,155.777
vastmanlands_lan,2019,162.071
vastmanlands_lan,2020,
vastmanlands_lan,2021,
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,154.591
dalarna_lan,2009,153.9
dalarna_lan,2010,159.53
dalarna_lan,2011,159.905
dalarna_lan,2012,164.555
dalarna_lan,2013,168.106
dalarna_lan,2014,169.358
dalarna_lan,2015,170.178
dalarna_lan,2016,168.791
dalarna_lan,2017,166.943
dalarna_lan,2018,167.132
dalarna_lan,2019,166.115
dalarna_lan,2020,
dalarna_lan,2021,
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,160.774
gavleborg_lan,2009,147.008
gavleborg_lan,2010,150.303
gavleborg_lan,2011,148.401
gavleborg_lan,2012,162.038
gavleborg_lan,2013,165.556
gavleborg_lan,2014,165.517
gavleborg_lan,2015,160.665
gavleborg_lan,2016,159.916
gavleborg_lan,2017,158.234
gavleborg_lan,2018,157.156
gavleborg_lan,2019,168.395
gavleborg_lan,2020,
gavleborg_lan,2021,
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,124.328
vasternorrlands_lan,2009,121.73
vasternorrlands_lan,2010,123.934
vasternorrlands_lan,2011,119.491
vasternorrlands_lan,2012,123.469
vasternorrlands_lan,2013,128.578
vasternorrlands_lan,2014,131.689
vasternorrlands_lan,2015,132.265
vasternorrlands_lan,2016,131.637
vasternorrlands_lan,2017,128.936
vasternorrlands_lan,2018,128.33
vasternorrlands_lan,2019,135.435
vasternorrlands_lan,2020,
vasternorrlands_lan,2021,
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,93.555
jamtlands_lan,2009,89.628
jamtlands_lan,2010,91.17
jamtlands_lan,2011,86.568
jamtlands_lan,2012,87.035
jamtlands_lan,2013,93.816
jamtlands_lan,2014,90.822
jamtlands_lan,2015,92.474
jamtlands_lan,2016,92.67
jamtlands_lan,2017,101.896
jamtlands_lan,2018,105.244
jamtlands_lan,2019,102.771
jamtlands_lan,2020,
jamtlands_lan,2021,
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,128.873
vasterbottens_lan,2009,123.246
vasterbottens_lan,2010,132.04
vasterbottens_lan,2011,128.84
vasterbottens_lan,2012,138.675
vasterbottens_lan,2013,140.803
vasterbottens_lan,2014,136.341
vasterbottens_lan,2015,137.375
vasterbottens_lan,2016,138.914
vasterbottens_lan,2017,138.247
vasterbottens_lan,2018,139.788
vasterbottens_lan,2019,148.895
vasterbottens_lan,2020,
vasterbottens_lan,2021,
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,159.042
norrbottens_lan,2009,153.768
norrbottens_lan,2010,157.881
norrbottens_lan,2011,163.612
norrbottens_lan,2012,169.339
norrbottens_lan,2013,163.947
norrbottens_lan,2014,165.339
norrbottens_lan,2015,166.264
norrbottens_lan,2016,166.949
norrbottens_lan,2017,163.576
norrbottens_lan,2018,161.193
norrbottens_lan,2019,165.018
norrbottens_lan,2020,
norrbottens_lan,2021,
norrbottens_lan,2022,
norrbottens_lan,2023,
riket,2003,
riket,2004,
riket,2005,
riket,2006,
riket,2007,
riket,2008,5545.066
riket,2009,5394.547
riket,2010,5725.816
riket,2011,5850.986
riket,2012,6145.079
riket,2013,6192.341
riket,2014,6241.868
riket,2015,6426.334
riket,2016,6577.063
riket,2017,6652.301
riket,2018,6668.763
riket,2019,7022.47
riket,2020,
riket,2021,
riket,2022,
riket,2023,
