lan,year,netto_bio_tja
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,999.000703
skane_lan,2009,954.435227
skane_lan,2010,1032.248236
skane_lan,2011,1081.565835
skane_lan,2012,1121.250742
skane_lan,2013,1176.597257
skane_lan,2014,1195.726787
skane_lan,2015,1240.335496
skane_lan,2016,1278.963995
skane_lan,2017,1313.822513
skane_lan,2018,1352.596839
skane_lan,2019,1381.613844
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,143.162502
hallands_lan,2009,135.592906
hallands_lan,2010,156.368938
hallands_lan,2011,175.241444
hallands_lan,2012,174.23195
hallands_lan,2013,186.513678
hallands_lan,2014,201.353311
hallands_lan,2015,218.104973
hallands_lan,2016,236.925119
hallands_lan,2017,254.43983
hallands_lan,2018,263.751298
hallands_lan,2019,270.559566
hallands_lan,2020,
hallands_lan,2021,
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,1237.461526
v_gotaland_lan,2009,1165.46397
v_gotaland_lan,2010,1228.741494
v_gotaland_lan,2011,1347.597794
v_gotaland_lan,2012,1424.087169
v_gotaland_lan,2013,1432.179638
v_gotaland_lan,2014,1505.28431
v_gotaland_lan,2015,1632.121055
v_gotaland_lan,2016,1754.729688
v_gotaland_lan,2017,1873.25533
v_gotaland_lan,2018,1978.326205
v_gotaland_lan,2019,2022.470698
v_gotaland_lan,2020,
v_gotaland_lan,2021,
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,133.034412
varmlands_lan,2009,124.862308
varmlands_lan,2010,131.131513
varmlands_lan,2011,135.655481
varmlands_lan,2012,139.342941
varmlands_lan,2013,144.738674
varmlands_lan,2014,152.037653
varmlands_lan,2015,166.435308
varmlands_lan,2016,180.896228
varmlands_lan,2017,194.685197
varmlands_lan,2018,198.261639
varmlands_lan,2019,203.241079
varmlands_lan,2020,
varmlands_lan,2021,
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,167.818274
orebro_lan,2009,160.674029
orebro_lan,2010,165.034191
orebro_lan,2011,174.041156
orebro_lan,2012,177.276822
orebro_lan,2013,176.178155
orebro_lan,2014,179.289077
orebro_lan,2015,194.795384
orebro_lan,2016,207.572924
orebro_lan,2017,223.880074
orebro_lan,2018,233.980177
orebro_lan,2019,242.687875
orebro_lan,2020,
orebro_lan,2021,
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,130.036212
vastmanlands_lan,2009,124.199616
vastmanlands_lan,2010,137.717241
vastmanlands_lan,2011,152.488209
vastmanlands_lan,2012,165.516508
vastmanlands_lan,2013,174.368722
vastmanlands_lan,2014,181.922906
vastmanlands_lan,2015,196.31555
vastmanlands_lan,2016,206.238702
vastmanlands_lan,2017,219.350106
vastmanlands_lan,2018,242.881473
vastmanlands_lan,2019,251.828181
vastmanlands_lan,2020,
vastmanlands_lan,2021,
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,155.714851
dalarna_lan,2009,164.925664
dalarna_lan,2010,184.333013
dalarna_lan,2011,195.497135
dalarna_lan,2012,205.487778
dalarna_lan,2013,204.961214
dalarna_lan,2014,217.2231
dalarna_lan,2015,244.586021
dalarna_lan,2016,251.874484
dalarna_lan,2017,259.933026
dalarna_lan,2018,279.555835
dalarna_lan,2019,270.75388
dalarna_lan,2020,
dalarna_lan,2021,
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,150.675165
gavleborg_lan,2009,139.373703
gavleborg_lan,2010,145.023158
gavleborg_lan,2011,161.863784
gavleborg_lan,2012,165.624714
gavleborg_lan,2013,166.977484
gavleborg_lan,2014,170.106524
gavleborg_lan,2015,178.915934
gavleborg_lan,2016,186.935831
gavleborg_lan,2017,199.997888
gavleborg_lan,2018,201.828664
gavleborg_lan,2019,211.18359
gavleborg_lan,2020,
gavleborg_lan,2021,
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,124.834237
vasternorrlands_lan,2009,124.432212
vasternorrlands_lan,2010,129.025027
vasternorrlands_lan,2011,137.31216
vasternorrlands_lan,2012,141.411815
vasternorrlands_lan,2013,149.041185
vasternorrlands_lan,2014,147.291289
vasternorrlands_lan,2015,154.852163
vasternorrlands_lan,2016,163.248092
vasternorrlands_lan,2017,169.601053
vasternorrlands_lan,2018,179.252669
vasternorrlands_lan,2019,182.926473
vasternorrlands_lan,2020,
vasternorrlands_lan,2021,
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,107.443771
jamtlands_lan,2009,105.385217
jamtlands_lan,2010,103.78022
jamtlands_lan,2011,104.176603
jamtlands_lan,2012,103.146847
jamtlands_lan,2013,105.082035
jamtlands_lan,2014,113.97868
jamtlands_lan,2015,114.659621
jamtlands_lan,2016,120.775206
jamtlands_lan,2017,131.231714
jamtlands_lan,2018,138.68111
jamtlands_lan,2019,148.830489
jamtlands_lan,2020,
jamtlands_lan,2021,
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
