lan,year,forv_bio_ejbranch
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,0
stockholms_lan,2009,0
stockholms_lan,2010,0
stockholms_lan,2011,0
stockholms_lan,2012,0
stockholms_lan,2013,0
stockholms_lan,2014,0
stockholms_lan,2015,0
stockholms_lan,2016,0
stockholms_lan,2017,0
stockholms_lan,2018,0
stockholms_lan,2019,0
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,0
uppsala_lan,2009,0
uppsala_lan,2010,0
uppsala_lan,2011,0
uppsala_lan,2012,0
uppsala_lan,2013,0
uppsala_lan,2014,0
uppsala_lan,2015,0
uppsala_lan,2016,0
uppsala_lan,2017,0
uppsala_lan,2018,0
uppsala_lan,2019,0
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,0
sodermansland_lan,2009,0
sodermansland_lan,2010,0
sodermansland_lan,2011,0
sodermansland_lan,2012,0
sodermansland_lan,2013,0
sodermansland_lan,2014,0
sodermansland_lan,2015,0
sodermansland_lan,2016,0
sodermansland_lan,2017,0
sodermansland_lan,2018,0
sodermansland_lan,2019,0
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,0
ostergotlands_lan,2009,0
ostergotlands_lan,2010,0
ostergotlands_lan,2011,0
ostergotlands_lan,2012,0
ostergotlands_lan,2013,0
ostergotlands_lan,2014,0
ostergotlands_lan,2015,0
ostergotlands_lan,2016,0
ostergotlands_lan,2017,0
ostergotlands_lan,2018,0
ostergotlands_lan,2019,0
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,0
jonkopings_lan,2009,0
jonkopings_lan,2010,0
jonkopings_lan,2011,0
jonkopings_lan,2012,0
jonkopings_lan,2013,0
jonkopings_lan,2014,0
jonkopings_lan,2015,0
jonkopings_lan,2016,0
jonkopings_lan,2017,0
jonkopings_lan,2018,0
jonkopings_lan,2019,0
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,0
kronobergs_lan,2009,0
kronobergs_lan,2010,0
kronobergs_lan,2011,0
kronobergs_lan,2012,0
kronobergs_lan,2013,0
kronobergs_lan,2014,0
kronobergs_lan,2015,0
kronobergs_lan,2016,0
kronobergs_lan,2017,0
kronobergs_lan,2018,0
kronobergs_lan,2019,0
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,0
kalmar_lan,2009,0
kalmar_lan,2010,0
kalmar_lan,2011,0
kalmar_lan,2012,0
kalmar_lan,2013,0
kalmar_lan,2014,0
kalmar_lan,2015,0
kalmar_lan,2016,0
kalmar_lan,2017,0
kalmar_lan,2018,0
kalmar_lan,2019,0
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,0
gotlands_lan,2009,0
gotlands_lan,2010,0
gotlands_lan,2011,0
gotlands_lan,2012,0
gotlands_lan,2013,0
gotlands_lan,2014,0
gotlands_lan,2015,0
gotlands_lan,2016,0
gotlands_lan,2017,0
gotlands_lan,2018,0
gotlands_lan,2019,0
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,0
blekinge_lan,2009,0
blekinge_lan,2010,0
blekinge_lan,2011,0
blekinge_lan,2012,0
blekinge_lan,2013,0
blekinge_lan,2014,0
blekinge_lan,2015,0
blekinge_lan,2016,0
blekinge_lan,2017,0
blekinge_lan,2018,0
blekinge_lan,2019,0
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,0
skane_lan,2009,0
skane_lan,2010,0
skane_lan,2011,0
skane_lan,2012,0
skane_lan,2013,0
skane_lan,2014,0
skane_lan,2015,0
skane_lan,2016,0
skane_lan,2017,0
skane_lan,2018,0
skane_lan,2019,0
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,0
hallands_lan,2009,0
hallands_lan,2010,0
hallands_lan,2011,0
hallands_lan,2012,0
hallands_lan,2013,0
hallands_lan,2014,0
hallands_lan,2015,0
