lan,year,forv_tot
skane_lan,2014,1131120
skane_lan,2015,1151644
skane_lan,2016,1177632
skane_lan,2017,1198210
skane_lan,2018,1215098
skane_lan,2019,1247466
skane_lan,2020,1247300
skane_lan,2021,1285475
skane_lan,2022,1315306
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,252480
hallands_lan,2009,246306
hallands_lan,2010,253612
hallands_lan,2011,262478
hallands_lan,2012,266434
hallands_lan,2013,267080
hallands_lan,2014,269476
hallands_lan,2015,273280
hallands_lan,2016,278774
hallands_lan,2017,283962
hallands_lan,2018,285974
hallands_lan,2019,292176
hallands_lan,2020,290956
hallands_lan,2021,298390
hallands_lan,2022,302243
hallands_lan,2023,
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,1527032
v_gotaland_lan,2009,1471064
v_gotaland_lan,2010,1508182
v_gotaland_lan,2011,1548926
v_gotaland_lan,2012,1568646
v_gotaland_lan,2013,1580016
v_gotaland_lan,2014,1590560
v_gotaland_lan,2015,1623826
v_gotaland_lan,2016,1667900
v_gotaland_lan,2017,1702858
v_gotaland_lan,2018,1727164
v_gotaland_lan,2019,1750386
v_gotaland_lan,2020,1721561
v_gotaland_lan,2021,1770163
v_gotaland_lan,2022,1818678
v_gotaland_lan,2023,
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,239804
varmlands_lan,2009,229342
varmlands_lan,2010,234528
varmlands_lan,2011,241536
varmlands_lan,2012,242962
varmlands_lan,2013,242824
varmlands_lan,2014,242074
varmlands_lan,2015,245462
varmlands_lan,2016,249120
varmlands_lan,2017,253228
varmlands_lan,2018,255554
varmlands_lan,2019,259016
varmlands_lan,2020,255072
varmlands_lan,2021,260714
varmlands_lan,2022,266101
varmlands_lan,2023,
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,257896
orebro_lan,2009,247082
orebro_lan,2010,252950
orebro_lan,2011,259270
