lan,year,vaxthus
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,10415
stockholms_lan,2009,10158
stockholms_lan,2010,9813
stockholms_lan,2011,8651
stockholms_lan,2012,8573
stockholms_lan,2013,8890
stockholms_lan,2014,9217
stockholms_lan,2015,10112
stockholms_lan,2016,10307
stockholms_lan,2017,9426
stockholms_lan,2018,9350
stockholms_lan,2019,8759
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,1462
uppsala_lan,2009,1430
uppsala_lan,2010,1872
uppsala_lan,2011,1667
uppsala_lan,2012,1556
uppsala_lan,2013,1561
uppsala_lan,2014,1440
uppsala_lan,2015,1446
uppsala_lan,2016,1461
uppsala_lan,2017,1385
uppsala_lan,2018,1470
uppsala_lan,2019,1350
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,3475
sodermansland_lan,2009,2114
sodermansland_lan,2010,3118
sodermansland_lan,2011,2909
sodermansland_lan,2012,2368
sodermansland_lan,2013,2441
sodermansland_lan,2014,2548
sodermansland_lan,2015,3245
sodermansland_lan,2016,2474
sodermansland_lan,2017,2539
sodermansland_lan,2018,2462
sodermansland_lan,2019,3091
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,2359
ostergotlands_lan,2009,2313
ostergotlands_lan,2010,2391
ostergotlands_lan,2011,2161
ostergotlands_lan,2012,2151
ostergotlands_lan,2013,2072
ostergotlands_lan,2014,1935
ostergotlands_lan,2015,1971
ostergotlands_lan,2016,1991
ostergotlands_lan,2017,1937
ostergotlands_lan,2018,1907
ostergotlands_lan,2019,1866
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,1801
jonkopings_lan,2009,1790
jonkopings_lan,2010,1849
jonkopings_lan,2011,1722
jonkopings_lan,2012,1665
jonkopings_lan,2013,1658
jonkopings_lan,2014,1617
jonkopings_lan,2015,1602
jonkopings_lan,2016,1517
jonkopings_lan,2017,1532
jonkopings_lan,2018,1483
jonkopings_lan,2019,1458
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,1022
kronobergs_lan,2009,1002
kronobergs_lan,2010,1033
kronobergs_lan,2011,961
kronobergs_lan,2012,926
kronobergs_lan,2013,881
kronobergs_lan,2014,857
kronobergs_lan,2015,849
kronobergs_lan,2016,834
kronobergs_lan,2017,824
kronobergs_lan,2018,804
kronobergs_lan,2019,786
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,1986
kalmar_lan,2009,1870
kalmar_lan,2010,1980
kalmar_lan,2011,1932
kalmar_lan,2012,1884
kalmar_lan,2013,1743
kalmar_lan,2014,1776
kalmar_lan,2015,1715
kalmar_lan,2016,1676
kalmar_lan,2017,1688
kalmar_lan,2018,1624
kalmar_lan,2019,1400
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,2782
gotlands_lan,2009,2463
gotlands_lan,2010,2699
gotlands_lan,2011,2771
gotlands_lan,2012,2894
gotlands_lan,2013,2746
gotlands_lan,2014,2732
gotlands_lan,2015,3014
gotlands_lan,2016,2885
gotlands_lan,2017,2796
gotlands_lan,2018,2929
gotlands_lan,2019,2542
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,848
blekinge_lan,2009,858
blekinge_lan,2010,913
blekinge_lan,2011,735
blekinge_lan,2012,717
blekinge_lan,2013,665
blekinge_lan,2014,626
blekinge_lan,2015,630
blekinge_lan,2016,612
blekinge_lan,2017,589
blekinge_lan,2018,599
blekinge_lan,2019,555
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,7067
skane_lan,2009,7199
skane_lan,2010,8183
skane_lan,2011,3201
skane_lan,2012,6795
skane_lan,2013,6800
skane_lan,2014,6420
skane_lan,2015,6609
skane_lan,2016,6169
skane_lan,2017,5823
skane_lan,2018,5564
skane_lan,2019,5575
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
